	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_107	0.191598	0.0	0.034539	1e-06	0.341073	7e-06	0.013603	0.03848	0.211626	0.09245	0.05156	0.025063	
Sample_108	0.195701	0.00809	1.8e-05	0.008612	0.308228	0.042781	0.0	0.019296	0.2271	0.052931	0.04034	0.096903	
Sample_109	0.265234	0.002797	2.7e-05	0.006401	0.386102	0.008811	0.0	0.089077	0.1715	0.027503	0.008919	0.03363	
Sample_110	0.30018	0.0	9.6e-05	1e-06	0.339942	0.019447	0.01525	0.075997	0.148869	0.014727	0.018159	0.067331	
Sample_111	0.271684	0.003892	0.011224	0.0	0.31786	2e-06	0.0	0.072386	0.229577	0.023211	0.013757	0.056407	
Sample_112	0.245877	0.006824	0.068258	0.017706	0.265219	0.022975	0.0	0.096638	0.187679	0.03393	0.021027	0.033867	
Sample_113	0.246243	0.004132	0.067397	1e-06	0.305613	0.013566	0.0	0.091479	0.148157	0.057608	0.010649	0.055154	
Sample_114	0.265281	0.0	0.018957	1e-06	0.283855	0.028474	0.009353	0.093676	0.164915	0.060602	0.035139	0.039747	
Sample_115	0.267603	0.003262	0.034522	0.018541	0.283086	0.053426	0.0	0.050132	0.149817	0.066936	0.021488	0.051188	
Sample_116	0.266379	0.0	0.071032	1e-06	0.22293	0.047852	0.0	0.157885	0.181185	0.017979	0.007744	0.027012	
Sample_117	0.271704	0.0	0.025487	0.05751	0.253931	9e-06	0.0	0.172387	0.182605	0.025564	9.9e-05	0.010703	
Sample_118	0.070205	0.010129	0.109368	0.046076	0.22583	5e-06	0.0	0.472817	0.027794	0.013888	0.012831	0.011056	
Sample_119	0.142921	0.0	0.160982	1e-06	0.238879	1e-05	0.0	0.416715	0.000657	0.012255	0.00963	0.017949	
Sample_120	0.129883	0.0	0.039316	1e-06	0.198428	0.077063	0.0	0.393537	0.001471	0.058335	0.008086	0.093881	
Sample_121	0.216977	0.0	0.028525	0.044753	0.221631	7e-06	0.0	0.321003	0.091452	0.016889	0.006469	0.052293	
Sample_122	0.224475	0.0	0.038361	0.023738	0.212483	8e-06	0.003248	0.393906	0.083498	0.004903	0.004268	0.011111	
Sample_123	0.247928	0.001994	0.059742	0.046095	0.214104	5e-06	0.0	0.266521	0.081964	0.016702	0.030356	0.03459	
Sample_124	0.163751	0.0	0.000246	4e-06	0.338105	2.9e-05	0.0	0.422356	0.028471	0.015405	0.001377	0.030256	
Sample_125	0.104993	0.004906	0.03768	0.028583	0.320367	8e-06	0.0	0.445771	0.018577	0.007372	0.011065	0.020676	
Sample_126	0.19014	0.005771	0.063225	0.005495	0.275151	8e-06	0.0	0.372341	0.020521	0.013631	0.014351	0.039366	
Sample_127	0.213034	0.0	0.03707	1e-06	0.290746	5e-06	0.0	0.39094	0.033523	0.012841	0.010522	0.011318	
Sample_128	0.208325	0.003347	0.006603	0.0	0.282342	4e-06	0.0	0.427767	0.008086	0.00881	0.006251	0.048464	
Sample_129	0.172643	0.0	0.054565	0.016286	0.234347	6e-06	0.003579	0.417955	0.035721	0.021402	0.009111	0.034383	
Sample_130	0.08442	1e-06	0.13383	2e-06	0.223778	1.2e-05	0.015502	0.304928	0.045013	0.134819	0.002999	0.054696	
Sample_131	0.165999	0.0	0.135627	1e-06	0.200909	0.044163	0.0	0.100265	0.162089	0.012763	0.025591	0.152591	
Sample_132	0.102902	0.0	0.211546	0.043723	0.147719	0.080297	0.03961	0.072252	0.181809	0.025532	0.0324	0.062209	
Sample_133	0.126903	0.008225	0.137949	0.018212	0.255595	0.009859	0.0	0.120592	0.285734	0.014438	0.003503	0.018991	
Sample_134	0.19167	0.0	0.052952	0.0	0.296908	0.032738	0.0	0.083478	0.066095	0.038923	0.018008	0.219227	
Sample_135	0.315486	0.002594	0.011155	0.0	0.286804	0.042679	0.0	0.02854	0.054181	0.036853	0.00744	0.214268	
Sample_136	0.210318	0.0	0.023398	0.007926	0.209241	2e-06	0.010694	0.007285	0.051224	0.020648	0.01122	0.448043	
Sample_137	0.217923	0.014293	0.130555	0.041191	0.000119	8e-06	0.0	0.025617	0.436091	0.049845	0.044282	0.040077	
Sample_138	0.207697	0.010533	0.163855	0.008606	0.004752	0.080464	0.0	0.090538	0.273088	0.046711	0.036172	0.077584	
Sample_139	0.006398	0.002712	0.016834	0.0	0.171305	0.027747	0.007062	0.054409	0.552857	0.021809	0.048159	0.090707	
Sample_140	0.009387	0.004322	0.022225	0.001202	0.173953	0.0231	0.0	0.057273	0.567644	0.018065	0.042702	0.080127	
