	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_37	0.230612	0.235788	0.080358	0.057536	0.345162	0.050544	
Sample_38	0.209895	0.197003	0.117181	0.088743	0.325143	0.062035	
Sample_39	0.204352	0.216645	0.040802	0.057918	0.428391	0.051891	
Sample_40	0.165925	0.276322	0.086582	0.037466	0.389019	0.044686	
Sample_41	0.154128	0.320457	0.108901	0.042332	0.313793	0.060389	
Sample_42	0.216656	0.326852	0.025363	0.026399	0.339855	0.064875	
Sample_43	0.217489	0.30173	0.038122	0.055905	0.350702	0.036053	
Sample_44	0.209713	0.225242	0.031782	0.050826	0.358344	0.124092	
Sample_45	0.241001	0.213822	0.031468	0.038062	0.303477	0.172171	
Sample_46	0.273528	0.286057	0.05375	0.009239	0.301984	0.075444	
Sample_47	0.249974	0.229621	0.06245	0.048514	0.307503	0.101938	
Sample_48	0.132851	0.2467	0.145453	0.110635	0.279896	0.084466	
Sample_49	0.378033	0.070717	0.096105	0.060002	0.190056	0.205087	
Sample_50	0.379438	0.103033	0.109996	0.125599	0.176363	0.105569	
Sample_51	0.572165	0.07466	0.072133	0.03673	0.211218	0.033093	
Sample_52	0.582257	0.080157	0.043605	0.039208	0.209328	0.045445	
Sample_53	0.539174	0.096507	0.068635	0.023448	0.218354	0.053883	
Sample_54	0.54506	0.087208	0.046108	0.033778	0.217693	0.070152	
Sample_55	0.574528	0.07416	0.039431	0.029019	0.203309	0.079553	
Sample_56	0.546787	0.073539	0.034225	0.017336	0.255263	0.07285	
Sample_57	0.597797	0.040096	0.016789	0.076939	0.199043	0.069336	
Sample_58	0.571256	0.02591	0.044507	0.053547	0.216242	0.088538	
Sample_59	0.63141	0.0285	0.0365	0.038864	0.220806	0.043921	
Sample_60	0.590563	0.047439	0.05459	0.041059	0.213334	0.053015	
Sample_61	0.631845	0.063339	0.023007	0.026601	0.181108	0.0741	
Sample_62	0.613676	0.06743	0.020039	0.032324	0.191919	0.074612	
Sample_63	0.621051	0.103242	0.033704	0.0238	0.15633	0.061872	
Sample_64	0.568188	0.059478	0.100768	0.028322	0.179202	0.064041	
Sample_65	0.587173	0.05074	0.088598	0.022769	0.164682	0.086038	
Sample_66	0.560387	0.047742	0.072316	0.038144	0.186301	0.09511	
Sample_67	0.562579	0.061399	0.089584	0.060147	0.189025	0.037267	
Sample_68	0.554486	0.065003	0.091584	0.063099	0.166733	0.059095	
Sample_69	0.502252	0.013155	0.127429	0.075757	0.23496	0.046447	
Sample_70	0.523094	0.038363	0.095394	0.063991	0.234057	0.045101	
Sample_71	0.517083	0.049373	0.060977	0.047201	0.239253	0.086112	
Sample_72	0.532929	0.037635	0.060055	0.049023	0.239883	0.080475	
Sample_73	0.523367	0.043305	0.064382	0.061151	0.223219	0.084576	
Sample_74	0.52124	0.031417	0.061023	0.07408	0.238009	0.07423	
Sample_75	0.512901	0.056209	0.070693	0.060996	0.237918	0.061283	
Sample_76	0.491418	0.054688	0.07727	0.043557	0.229359	0.103709	
Sample_77	0.541733	0.050222	0.038121	0.063647	0.173171	0.133106	
Sample_78	0.514941	0.065527	0.022962	0.10561	0.182013	0.108948	
Sample_79	0.478918	0.116491	0.070024	0.032727	0.243832	0.058009	
Sample_80	0.471844	0.117803	0.064281	0.045478	0.242977	0.057616	
Sample_81	0.456946	0.14826	0.049782	0.066816	0.216804	0.061391	
Sample_82	0.502751	0.104213	0.054311	0.068657	0.221878	0.048191	
Sample_83	0.528652	0.111076	0.031043	0.068343	0.213281	0.047604	
Sample_84	0.510108	0.091921	0.108263	0.023939	0.226632	0.039137	
Sample_85	0.56459	0.14122	0.044172	0.00528	0.183424	0.061315	
Sample_86	0.552338	0.132214	0.031198	0.009296	0.191552	0.083402	
Sample_87	0.575021	0.139456	0.076758	0.009065	0.167447	0.032253	
Sample_88	0.579189	0.085488	0.054047	0.077241	0.147084	0.056951	
Sample_89	0.626842	0.06532	0.083188	0.080326	0.107834	0.03649	
Sample_90	0.67747	0.038718	0.026168	0.024674	0.154832	0.078137	
Sample_91	0.746929	0.034038	0.019537	0.016074	0.107272	0.076149	
Sample_92	0.449809	0.053023	0.101272	0.034324	0.320561	0.041011	
Sample_93	0.443793	0.064303	0.081204	0.056897	0.307143	0.04666	
Sample_94	0.408449	0.067418	0.078611	0.073662	0.30526	0.066601	
Sample_95	0.47725	0.060742	0.044046	0.071313	0.303391	0.043257	
Sample_96	0.452721	0.085074	0.066458	0.074769	0.285419	0.03556	
Sample_97	0.447818	0.071101	0.040081	0.060085	0.355435	0.02548	
Sample_98	0.474384	0.040664	0.065961	0.039247	0.318063	0.061681	
Sample_99	0.478265	0.033758	0.071474	0.039286	0.308563	0.068655	
Sample_100	0.490837	0.056476	0.055358	0.027711	0.3075	0.062119	
Sample_101	0.460032	0.057508	0.057976	0.041332	0.297775	0.085377	
Sample_102	0.492577	0.050112	0.037631	0.037259	0.28969	0.092732	
Sample_103	0.511227	0.050649	0.037806	0.052459	0.268569	0.079289	
Sample_104	0.540015	0.032645	0.062839	0.037114	0.298204	0.029184	
Sample_105	0.483865	0.089312	0.080597	0.024561	0.283103	0.038563	
Sample_106	0.459562	0.072578	0.087591	0.038324	0.262132	0.079813	
Sample_107	0.420315	0.04577	0.099388	0.021989	0.279432	0.133106	
Sample_108	0.347004	0.083438	0.095709	0.03174	0.358434	0.083676	
Sample_109	0.364747	0.066924	0.087605	0.039337	0.360509	0.080878	
Sample_110	0.350679	0.11709	0.08375	0.036556	0.3371	0.074826	
Sample_111	0.386506	0.062584	0.054438	0.056068	0.3563	0.084104	
Sample_112	0.385252	0.086166	0.050083	0.049964	0.333056	0.095479	
Sample_113	0.358049	0.089155	0.076934	0.069909	0.31981	0.086143	
Sample_114	0.406945	0.097751	0.0926	0.017608	0.310859	0.074237	
Sample_115	0.358602	0.083445	0.069021	0.041061	0.305617	0.142253	
Sample_116	0.414722	0.078831	0.010753	0.024313	0.387396	0.083986	
Sample_117	0.450217	0.061185	0.007458	0.019267	0.420605	0.041268	
Sample_118	0.421648	0.057316	0.043181	0.052289	0.383852	0.041715	
Sample_119	0.40181	0.057569	0.036388	0.059246	0.383746	0.06124	
Sample_120	0.408153	0.034689	0.041011	0.046551	0.410791	0.058805	
Sample_121	0.379164	0.059778	0.026399	0.028136	0.424533	0.08199	
Sample_122	0.373701	0.090312	0.022523	0.056545	0.39306	0.063859	
Sample_123	0.427326	0.042074	0.019484	0.064816	0.362947	0.083353	
Sample_124	0.447988	0.044232	0.039175	0.053296	0.346834	0.068476	
Sample_125	0.419094	0.055141	0.067319	0.030414	0.331985	0.096047	
Sample_126	0.419032	0.03785	0.094845	0.024024	0.362185	0.062062	
Sample_127	0.408899	0.034994	0.095791	0.034248	0.369639	0.056428	
Sample_128	0.419778	0.041673	0.14103	0.025252	0.336054	0.036213	
Sample_129	0.418235	0.189927	0.06782	0.068868	0.23253	0.02262	
Sample_130	0.44295	0.168204	0.059564	0.075203	0.222556	0.031523	
Sample_131	0.420532	0.157567	0.049232	0.078095	0.264453	0.030121	
Sample_132	0.42883	0.142335	0.041309	0.023132	0.280722	0.083671	
Sample_133	0.365943	0.131271	0.090771	0.075037	0.313046	0.023932	
Sample_134	0.384757	0.09455	0.092576	0.101909	0.297036	0.029173	
Sample_135	0.420906	0.114969	0.061242	0.063793	0.293745	0.045345	
Sample_136	0.415087	0.141043	0.046129	0.072575	0.299488	0.025679	
Sample_137	0.374732	0.144422	0.065635	0.07764	0.282979	0.054592	
Sample_138	0.3528	0.099965	0.037037	0.109742	0.329242	0.071213	
Sample_139	0.277629	0.122631	0.144343	0.089615	0.27845	0.087333	
Sample_140	0.32053	0.137175	0.119106	0.089929	0.256792	0.076468	
Sample_141	0.264813	0.160304	0.081306	0.092762	0.303555	0.097259	
Sample_142	0.311827	0.204362	0.126183	0.024869	0.264872	0.067888	
Sample_143	0.470635	0.214813	0.053897	0.064862	0.148686	0.047106	
Sample_144	0.493734	0.210954	0.034807	0.055435	0.170996	0.034074	
Sample_145	0.502983	0.208985	0.047612	0.0469	0.135418	0.058102	
Sample_146	0.500702	0.186261	0.050038	0.022187	0.165044	0.075768	
Sample_147	0.38974	0.259176	0.045833	0.12214	0.135495	0.047616	
Sample_148	0.392515	0.273513	0.025105	0.034469	0.219478	0.05492	
Sample_149	0.389111	0.244741	0.04019	0.023655	0.248428	0.053876	
Sample_150	0.41118	0.207505	0.055595	0.024174	0.260873	0.040673	
Sample_151	0.385745	0.294707	0.074663	0.020738	0.184951	0.039195	
Sample_152	0.14218	0.431302	0.082738	0.051877	0.235609	0.056293	
Sample_153	0.211014	0.443908	0.061544	0.043731	0.219383	0.02042	
Sample_154	0.158852	0.54261	0.071615	0.045626	0.16057	0.020727	
Sample_155	0.137856	0.535551	0.068975	0.038012	0.194078	0.025528	
Sample_156	0.20267	0.490581	0.060166	0.062316	0.164284	0.019984	
Sample_157	0.232753	0.344874	0.065981	0.075053	0.223368	0.057971	
Sample_158	0.059824	0.693406	0.021076	0.003989	0.201499	0.020206	
Sample_159	0.062022	0.712943	0.040273	0.012671	0.148544	0.023547	
Sample_160	0.019512	0.703119	0.0824	0.096791	0.089422	0.008756	
Sample_161	0.1505	0.613726	0.032145	0.049605	0.131688	0.022336	
Sample_162	0.139095	0.698559	0.023977	0.027311	0.079932	0.031127	
Sample_163	0.167647	0.619542	0.03945	0.093763	0.067146	0.012452	
Sample_164	0.275307	0.394109	0.061916	0.080918	0.109126	0.078624	
Sample_165	0.295885	0.371128	0.053654	0.094006	0.151822	0.033505	
Sample_166	0.308199	0.325721	0.080163	0.108914	0.108562	0.068441	
Sample_167	0.384148	0.412889	0.012292	0.022996	0.113065	0.05461	
Sample_168	0.399478	0.42609	0.02106	0.023999	0.078805	0.050567	
Sample_169	0.023199	0.013581	0.853561	0.053623	0.051135	0.0049	
Sample_170	0.030228	0.012607	0.906673	0.028199	0.019828	0.002465	
Sample_171	0.111343	0.003914	0.745947	0.008956	0.098182	0.031658	
Sample_172	0.16042	0.213191	0.497112	0.023206	0.086609	0.019462	
Sample_173	0.125556	0.055851	0.313516	0.031171	0.448581	0.025324	
Sample_174	0.020604	0.043469	0.414235	0.097704	0.412658	0.01133	
Sample_175	0.009509	0.001542	0.006769	0.954276	0.02214	0.005764	
