	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_62	0.0	0.0	0.013948	0.158593	0.0	0.122885	0.0	0.027231	0.00382	0.002573	0.069689	0.515615	0.085646	
Sample_63	0.0	0.0	0.01101	0.0	0.0	0.019222	0.0	0.006824	0.215767	0.233189	0.084167	0.001983	0.427838	
Sample_64	0.0	0.0	0.001955	0.0	0.0	0.0	0.0	0.006766	0.227298	0.211402	0.202221	0.019852	0.330506	
Sample_65	0.0	0.0	0.006871	0.0	0.0	0.067025	0.0	0.010847	0.145112	0.275132	0.00774	0.220607	0.266665	
Sample_66	0.0	0.0	0.018069	0.0	0.0	0.071354	0.0	2.7e-05	0.007117	2e-06	0.122371	0.109963	0.671097	
Sample_67	0.007963	0.0	0.002775	0.0	0.0	0.046664	0.0	1.3e-05	0.016016	0.057476	0.096058	0.048531	0.724503	
Sample_68	0.025345	0.085096	0.00187	0.0	0.0	0.0	0.055978	0.002764	0.00516	1e-06	0.001044	0.003167	0.819575	
Sample_69	0.032768	0.0	2e-06	0.0	0.0	0.0	0.0	0.012459	0.156542	1e-06	0.219321	0.156399	0.422508	
Sample_70	0.0	0.0	7e-06	0.0	0.0	1e-06	0.0	0.639725	0.034957	3e-06	0.100176	0.119639	0.105492	
Sample_71	0.0	0.0	0.769478	0.0	0.0	1e-06	0.0	0.076492	0.00195	3e-06	0.078637	0.007031	0.066408	
Sample_72	0.0	0.0	0.946544	0.0	0.0	0.0	0.0	1.5e-05	0.020084	1e-06	0.000964	0.021067	0.011325	
Sample_73	0.0	0.0	0.660341	0.0	0.0	1e-06	0.0	0.132483	0.052319	0.020104	0.004409	0.110958	0.019384	
Sample_74	0.0	0.0	0.524532	0.0	0.0	1e-06	0.0	0.256853	0.016619	3e-06	0.002724	0.102291	0.096977	
Sample_75	0.0454	0.106884	0.001284	0.134353	0.468312	0.024601	0.039615	2e-06	0.006284	0.121108	0.009744	0.023637	0.018776	
Sample_76	0.0	0.082648	1e-06	0.157219	0.488061	0.009193	0.03907	0.016858	0.01035	0.151207	0.007623	0.022481	0.015289	
Sample_77	0.0	0.0	0.004939	0.254076	0.528384	0.0	0.0	0.026787	0.001714	0.138387	0.001336	0.04244	0.001937	
Sample_78	0.0	0.21937	0.006441	0.192099	0.451209	0.030047	0.0	0.005973	0.00669	0.032069	0.016085	0.032229	0.007788	
Sample_79	0.0	0.268842	0.003853	0.191091	0.412548	0.0	0.0	1.7e-05	0.004528	0.044457	0.02275	0.041718	0.010197	
Sample_80	0.0	0.272457	1e-06	0.256986	0.357663	0.0	0.0	0.003476	0.024468	0.031355	0.004133	0.042097	0.007364	
Sample_81	0.041844	0.415049	0.000646	0.0	0.435468	0.0	0.017899	0.003149	0.010364	0.000799	0.004644	0.023919	0.046219	
Sample_82	0.072098	0.438166	0.00022	0.101914	0.242112	0.003037	0.067748	0.004013	0.008089	0.027038	0.010376	0.008761	0.016428	
Sample_83	0.03485	0.431525	0.0	0.178527	0.233958	0.0	0.04278	0.008817	0.015133	0.028519	0.003087	0.014325	0.008479	
Sample_84	0.063739	0.374803	0.000379	0.22032	0.160133	0.011403	0.073279	0.008564	0.009826	0.044237	0.006917	0.006846	0.019554	
Sample_85	0.013045	0.565592	0.001086	0.149474	0.11695	0.056225	0.019062	0.02024	0.000983	1e-06	0.005535	0.033992	0.017816	
Sample_86	0.029048	0.287541	0.0	0.261816	0.22681	0.0	0.071765	0.004163	0.013672	0.022012	0.003615	0.035963	0.043595	
Sample_87	0.017002	0.269134	0.000577	0.347952	0.130438	0.0	0.079856	0.010096	0.01487	0.041235	0.005702	0.059365	0.023774	
Sample_88	0.117417	0.022775	0.003831	0.059547	0.146743	0.044976	0.153092	0.007577	0.109886	0.201556	0.003788	0.108032	0.02078	
Sample_89	0.085916	0.030736	0.001185	0.262774	0.071285	0.0724	0.096673	0.007139	0.0081	0.147477	0.005351	0.202417	0.008548	
