	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_123	0.089708	0.248401	0.084436	0.089359	0.446167	0.022053	0.019875	
Sample_124	0.080947	0.31476	0.039544	0.082149	0.392716	2e-06	0.089882	
Sample_125	0.073334	0.303486	0.039693	0.120101	0.384257	2e-06	0.079126	
Sample_126	0.073467	0.27483	0.019583	0.106115	0.438398	2e-06	0.087605	
Sample_127	0.059126	0.311916	0.025743	0.037156	0.448771	0.02957	0.087718	
Sample_128	0.052068	0.318688	0.040101	0.035944	0.45925	2e-06	0.093947	
Sample_129	0.034587	0.286557	0.030759	0.041957	0.471055	2e-06	0.135083	
Sample_130	0.070053	0.246416	0.039525	0.053307	0.495459	0.040933	0.054308	
Sample_131	0.060884	0.260765	0.028059	0.054075	0.505512	0.039134	0.051571	
Sample_132	0.0798	0.21684	0.038939	0.070059	0.467863	0.044437	0.082062	
Sample_133	0.036825	0.236002	0.0255	0.08681	0.489095	0.053253	0.072514	
Sample_134	0.093566	0.25333	0.041933	0.051236	0.525618	1e-06	0.034317	
Sample_135	0.097451	0.252803	0.034563	0.017724	0.524263	0.039612	0.033583	
Sample_136	0.026165	0.315933	0.064114	0.070517	0.48654	2e-06	0.03673	
Sample_137	0.021867	0.278382	0.043255	0.09758	0.477749	0.018693	0.062474	
Sample_138	0.040991	0.266339	0.074481	0.060116	0.517479	2e-06	0.040592	
Sample_139	0.035926	0.251975	0.081811	0.083917	0.489675	2e-06	0.056694	
Sample_140	0.040296	0.28475	0.033808	0.053511	0.487149	2e-06	0.100485	
Sample_141	0.044289	0.267041	0.059649	0.063414	0.485577	1e-06	0.080029	
Sample_142	0.05411	0.279875	0.04464	0.039613	0.521769	2e-06	0.059992	
Sample_143	0.082131	0.274339	0.041892	0.034096	0.498172	2e-06	0.069367	
Sample_144	0.13088	0.252849	0.042878	0.075754	0.378664	0.057009	0.061968	
Sample_145	0.083701	0.243328	0.055413	0.078084	0.408355	0.070346	0.060774	
Sample_146	0.073838	0.292601	0.037097	0.064729	0.391383	0.055493	0.084859	
Sample_147	0.128418	0.233124	0.026174	0.043255	0.426512	0.052938	0.089579	
Sample_148	0.022682	0.202884	0.073429	0.192947	0.444151	2e-06	0.063904	
Sample_149	0.038942	0.231697	0.026153	0.206371	0.443855	2e-06	0.052981	
Sample_150	0.082349	0.246979	0.02065	0.143945	0.449497	0.01843	0.038149	
Sample_151	0.044763	0.255491	0.062956	0.111676	0.42958	0.042241	0.053293	
Sample_152	0.02591	0.26168	0.072501	0.133729	0.421445	0.043157	0.041577	
Sample_153	0.031413	0.223167	0.078094	0.151045	0.436237	0.033771	0.046272	
Sample_154	0.053837	0.258703	0.080595	0.143509	0.401545	2e-06	0.061809	
Sample_155	0.022265	0.277617	0.078259	0.129349	0.405638	2e-06	0.086869	
Sample_156	0.028706	0.254527	0.103263	0.092857	0.398907	0.04136	0.080379	
Sample_157	0.343903	0.17594	0.068834	0.123599	0.244762	3e-06	0.042958	
Sample_158	0.319093	0.174332	0.01399	0.091641	0.332335	2e-06	0.068607	
Sample_159	0.469112	0.080857	0.007528	0.043241	0.346157	1e-06	0.053103	
Sample_160	0.20017	0.164874	0.062461	0.07106	0.408702	2e-06	0.092731	
Sample_161	0.333473	0.149507	0.010186	0.023764	0.45499	3e-06	0.028077	
Sample_162	0.365555	0.117917	0.004966	0.272116	0.20349	2e-06	0.035954	
Sample_163	0.289153	0.181398	0.054445	0.20801	0.210428	2e-06	0.056564	
Sample_164	0.019045	0.188402	0.004031	0.685342	0.082998	1e-06	0.020182	
Sample_165	0.021663	0.142328	0.014905	0.706209	0.078532	2e-06	0.036361	
Sample_166	0.007532	0.086509	0.093908	0.699082	0.024866	0.009937	0.078165	
Sample_167	0.00925	0.064352	0.095155	0.615887	0.177679	1e-06	0.037676	
Sample_168	0.021247	0.116263	0.051974	0.606979	0.170637	1e-06	0.0329	
Sample_169	0.032824	0.071263	0.023801	0.699281	0.151291	1e-06	0.021539	
Sample_170	0.051411	0.219037	0.055667	0.426942	0.170157	2e-06	0.076784	
Sample_171	0.016474	0.18788	0.054209	0.429585	0.227233	0.035144	0.049475	
Sample_172	0.021155	0.151104	0.051432	0.540021	0.174671	2e-06	0.061614	
Sample_173	0.024347	0.180991	0.041756	0.529836	0.157823	2e-06	0.065246	
Sample_174	0.01867	0.153156	0.064656	0.494017	0.218743	1e-06	0.050756	
Sample_175	0.019386	0.302014	0.026734	0.045235	0.095189	0.278414	0.233029	
Sample_176	0.011418	0.40364	0.109131	0.04341	0.031242	0.030575	0.370585	
Sample_177	0.0046	0.046923	0.052175	0.015138	0.022184	0.082729	0.776252	
Sample_178	0.002156	0.018391	0.032053	0.013668	0.039171	1e-06	0.89456	
Sample_179	0.031361	0.073736	0.010106	0.003807	0.090244	0.147232	0.643515	
Sample_180	0.011871	0.106616	0.026323	0.214793	0.177034	4e-06	0.463359	
Sample_181	0.839043	0.03854	0.004575	0.053006	0.054488	1e-06	0.010346	
Sample_182	0.006052	0.02017	0.956126	0.001567	0.012094	0.0	0.003991	
