	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_119	0.008204	0.003161	0.039843	0.016126	0.008317	0.92435	
Sample_120	3.1e-05	1.2e-05	0.018873	0.183599	0.015533	0.781952	
Sample_121	0.081286	0.065122	0.035194	0.120737	0.001537	0.696123	
Sample_122	0.098077	0.003892	0.184994	0.027507	0.035072	0.650459	
Sample_123	0.109764	0.030874	0.169743	0.024477	0.0424	0.622742	
Sample_124	0.133389	0.015115	0.155645	0.049997	0.041924	0.60393	
Sample_125	0.109569	2.5e-05	0.113233	0.055261	0.074061	0.64785	
Sample_126	0.099922	0.024763	0.14058	0.049809	0.057109	0.627816	
Sample_127	0.07688	0.061727	0.155764	0.011591	0.07516	0.618878	
Sample_128	0.175498	5e-05	0.077579	0.026673	0.033407	0.686793	
Sample_129	0.145397	3.4e-05	0.093706	0.036975	0.035967	0.687921	
Sample_130	0.168645	3.8e-05	0.069754	0.053358	0.092285	0.615919	
Sample_131	0.140842	0.019888	0.041524	0.009085	0.12673	0.661931	
Sample_132	0.08542	0.056013	0.094802	0.027099	0.137316	0.599351	
Sample_133	0.005859	4e-05	0.14692	0.028332	0.251369	0.56748	
Sample_134	0.036573	4e-05	0.133339	0.023385	0.259545	0.547118	
Sample_135	6.8e-05	0.062311	0.141197	0.087792	0.206404	0.502228	
Sample_136	6.1e-05	0.037881	0.11306	0.015044	0.167568	0.666387	
Sample_137	0.007215	3.4e-05	0.154484	0.010485	0.171243	0.65654	
Sample_138	0.011056	4.1e-05	0.116423	0.060521	0.170443	0.641516	
Sample_139	4.2e-05	0.008321	0.113701	0.019692	0.220631	0.637613	
Sample_140	0.049475	0.02246	0.121607	0.064409	0.179426	0.562622	
Sample_141	5.3e-05	0.063881	0.151376	0.048587	0.154791	0.581312	
Sample_142	9.8e-05	0.046177	0.142818	0.055283	0.137368	0.618257	
Sample_143	6.3e-05	0.076513	0.133855	0.078053	0.151083	0.560432	
Sample_144	9.4e-05	0.062091	0.04745	0.033705	0.265873	0.590788	
Sample_145	0.213719	0.06387	0.046277	0.023829	0.125248	0.527057	
Sample_146	0.159041	0.064785	0.104497	0.062855	0.10113	0.507692	
Sample_147	0.247871	0.007402	0.084166	0.020061	0.06039	0.580111	
Sample_148	5e-05	4.1e-05	0.064009	0.272109	0.040647	0.623144	
Sample_149	7.2e-05	0.008755	0.144335	0.239715	0.068763	0.53836	
Sample_150	3.4e-05	0.050637	0.066888	0.192258	0.128192	0.561991	
Sample_151	0.004191	0.037115	0.038715	0.318673	0.090092	0.511215	
Sample_152	5.5e-05	0.042133	0.204395	0.18048	0.108121	0.464816	
Sample_153	6.9e-05	2.9e-05	0.231644	0.03562	0.168987	0.56365	
Sample_154	0.00577	0.011295	0.189139	0.036123	0.149861	0.607813	
Sample_155	4.4e-05	0.040367	0.248241	0.023892	0.176572	0.510885	
Sample_156	4.7e-05	0.022114	0.267448	0.107984	0.093253	0.509153	
Sample_157	0.014272	2.9e-05	0.294803	0.06444	0.096178	0.530277	
Sample_158	7.7e-05	0.020641	0.249807	0.062325	0.099668	0.567483	
Sample_159	0.051782	0.015764	0.23211	0.024163	0.06033	0.615852	
Sample_160	0.037993	0.006766	0.237506	0.054955	0.041345	0.621434	
Sample_161	8.5e-05	3.3e-05	0.23529	0.022817	0.06947	0.672305	
Sample_162	7.3e-05	3.1e-05	0.269638	0.071665	0.035931	0.622662	
Sample_163	0.016306	0.068822	0.175788	0.078543	0.055457	0.605083	
Sample_164	0.086543	1.9e-05	0.264241	0.025693	0.039261	0.584243	
Sample_165	0.104163	3.1e-05	0.231214	0.027276	0.011182	0.626134	
Sample_166	0.108156	0.027961	0.244094	0.03435	0.06688	0.518559	
Sample_167	4.9e-05	0.061333	0.338611	0.000413	0.108267	0.491327	
Sample_168	0.009809	0.066402	0.342984	0.052957	0.038656	0.489192	
Sample_169	0.01458	1.3e-05	0.341122	0.01594	0.013784	0.614562	
Sample_170	6.7e-05	0.03013	0.336468	0.002619	0.054195	0.576521	
Sample_171	0.066608	0.048344	0.323401	0.000331	0.026477	0.534839	
Sample_172	0.077842	2e-05	0.357882	0.003701	0.074673	0.485882	
Sample_173	0.105101	3.4e-05	0.377092	0.004136	0.046001	0.467636	
Sample_174	4.6e-05	2.8e-05	0.424907	0.018247	0.057505	0.499267	
Sample_175	8e-05	0.101531	0.098237	0.029348	0.318791	0.452012	
Sample_176	0.006591	0.00463	0.30352	0.533976	0.010966	0.140317	
Sample_177	0.013665	3e-05	0.229284	0.437974	0.059199	0.259848	
Sample_178	0.043049	0.026149	0.115567	0.554896	0.046958	0.213381	
Sample_179	5.6e-05	2.8e-05	0.001394	0.546662	0.020804	0.431056	
Sample_180	4.1e-05	1.7e-05	0.072481	0.507798	0.057562	0.362102	
Sample_181	0.006362	0.002712	0.00052	0.977697	0.009913	0.002796	
Sample_182	3e-06	0.994762	0.001772	0.003013	5.4e-05	0.000396	
