	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_60	0.0019	0.007129	0.069554	0.009962	0.010345	0.050477	0.04971	0.060663	0.013668	0.076888	0.0019	0.0038	0.161017	0.007053	0.032172	0.036805	0.010041	0.00487	0.010715	0.029192	0.092178	0.006061	0.002252	0.015255	0.218814	0.009058	0.008523	
Sample_61	0.0	0.005382	0.061234	0.003862	0.023282	0.025308	0.090986	0.074842	0.00756	0.09307	0.001372	0.004115	0.123055	0.004474	0.033977	0.029404	0.028035	0.007915	0.008037	0.012715	0.1013	0.006724	0.005099	0.011358	0.21902	0.009063	0.008811	
Sample_62	0.001034	0.001757	0.075052	0.001905	0.013444	0.021201	0.102873	0.080798	0.009503	0.086815	0.004137	0.003102	0.141665	0.005695	0.02408	0.017697	0.040217	0.001205	0.006316	0.018035	0.103543	0.007717	0.003696	0.021084	0.19547	0.001433	0.010524	
Sample_63	0.002833	0.006987	0.066549	0.002682	0.016635	0.029954	0.065546	0.06707	0.004621	0.079662	0.005666	0.003647	0.13994	0.002125	0.019655	0.019105	0.036808	0.006711	0.010534	0.030936	0.107465	0.006484	0.003241	0.033832	0.211316	0.011534	0.008461	
Sample_64	0.0	0.007621	0.079871	0.004287	0.035023	0.020956	0.073777	0.07938	0.022163	0.063437	0.0	0.006803	0.136871	0.009528	0.007681	0.041329	0.024476	0.000912	0.006761	0.025546	0.107876	0.003993	0.000123	0.020862	0.212405	0.002335	0.005986	
Sample_65	0.009162	0.002703	0.07847	0.019439	0.009671	0.042115	0.090582	0.060565	0.009398	0.077431	0.0	0.00589	0.113843	0.013209	0.03543	0.027799	0.043678	0.009483	0.017285	0.029463	0.065514	0.006422	0.007013	0.037506	0.15204	0.014576	0.021314	
Sample_66	0.001474	0.00178	0.104462	0.009264	0.016109	0.028642	0.077147	0.060633	0.016406	0.085063	0.000737	0.002948	0.128753	0.005229	0.031371	0.023937	0.056748	0.006759	0.013443	0.02941	0.083512	0.002697	0.007276	0.022191	0.166059	0.004263	0.013686	
Sample_67	0.005906	0.007067	0.11286	0.017878	0.013691	0.041217	0.091958	0.061738	0.017861	0.087559	0.000984	0.008673	0.095535	0.004918	0.025918	0.018009	0.028312	0.003606	0.017074	0.027192	0.082526	0.010177	0.004677	0.025184	0.165668	0.016235	0.007577	
Sample_68	0.002927	0.005972	0.11702	0.007794	0.017116	0.046655	0.075179	0.063875	0.012374	0.07286	0.002927	0.009705	0.113234	0.006836	0.03113	0.025515	0.030645	0.008425	0.007874	0.029374	0.07406	0.006882	0.004039	0.017	0.182441	0.010821	0.017319	
Sample_69	0.001315	0.003559	0.078586	0.004221	0.014806	0.032272	0.073163	0.094081	0.010538	0.079135	0.0	0.00318	0.127038	0.002964	0.00979	0.023817	0.012293	0.003314	0.03668	0.058496	0.077643	0.008418	0.024635	0.006547	0.192378	0.012278	0.008853	
