	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_188	0.0	0.002481	0.074515	0.00663	0.019231	0.027893	0.077735	0.11355	0.009366	0.084482	0.003205	0.004808	0.08697	0.003868	0.017601	0.020967	0.007791	0.002459	0.018789	0.018089	0.134494	0.002634	0.003997	0.025588	0.198191	0.026132	0.008534	
Sample_189	0.0	0.000455	0.091761	0.000939	0.015655	0.028666	0.078868	0.108271	0.011616	0.074619	0.003295	0.006299	0.062725	0.001733	0.013843	0.023209	0.012831	0.001459	0.015326	0.02195	0.149997	0.004974	0.003746	0.025664	0.199801	0.027816	0.014479	
Sample_190	0.002493	0.001651	0.073646	0.005802	0.015187	0.02678	0.063169	0.135129	0.014732	0.09361	0.001246	0.004155	0.097779	0.000548	0.009004	0.024103	0.006008	0.007303	0.005587	0.026817	0.151486	0.006668	0.000535	0.00789	0.2157	0.002654	0.000319	
Sample_191	0.001812	0.002307	0.067643	0.003783	0.017695	0.02966	0.068183	0.125725	0.006545	0.079191	0.002717	0.008106	0.093888	0.000949	0.013344	0.024044	0.016407	0.033376	0.002836	0.019509	0.150628	0.006196	0.003018	0.007146	0.210839	0.002355	0.002098	
Sample_192	0.004325	0.003184	0.071599	0.004192	0.018745	0.032726	0.086255	0.123552	0.013691	0.071432	0.002595	0.007593	0.099193	0.002814	0.012708	0.013068	0.010875	0.004377	0.013075	0.023047	0.155303	0.002665	0.00183	0.010028	0.19997	0.005354	0.005804	
Sample_193	0.0	0.002673	0.069654	0.002049	0.004796	0.041646	0.09272	0.06674	0.025929	0.080079	0.004796	0.007194	0.113463	0.007194	0.00924	0.024135	0.015281	0.004782	0.00841	0.007512	0.157742	0.005344	0.000198	0.006195	0.229971	0.011499	0.000757	
Sample_194	0.0	0.002192	0.077169	0.002653	0.016904	0.0255	0.088195	0.075224	0.020223	0.090292	0.001464	0.002734	0.107468	0.008893	0.015601	0.025371	0.015238	0.002421	0.021715	0.018029	0.143738	0.009474	0.002024	0.021677	0.195768	0.008797	0.001238	
Sample_195	0.005708	0.003634	0.075637	0.001697	0.007991	0.039656	0.083498	0.078649	0.014049	0.064451	0.003425	0.005708	0.09988	0.005698	0.015287	0.044779	0.013512	0.00779	0.009041	0.016415	0.134106	0.00457	0.008113	0.020423	0.216927	0.008207	0.01115	
Sample_196	0.0	0.001393	0.07958	0.005695	0.011811	0.033717	0.074887	0.062811	0.029841	0.080836	0.0	0.010989	0.090787	0.002783	0.013565	0.036982	0.02048	0.005695	0.011817	0.013812	0.134859	0.010533	0.001593	0.03449	0.209902	0.016433	0.00471	
Sample_197	0.006339	0.005596	0.080357	0.007098	0.003612	0.027588	0.100716	0.070147	0.015931	0.065019	0.004754	0.00317	0.113176	0.002228	0.012192	0.012934	0.008256	0.018715	0.013726	0.029211	0.126696	0.006717	0.002036	0.010353	0.224718	0.009878	0.018838	
Sample_198	0.001981	0.001873	0.077861	0.003883	0.019301	0.040499	0.078924	0.097242	0.009235	0.067922	0.001981	0.003366	0.10559	0.003798	0.01348	0.0304	0.029718	0.006678	0.01572	0.029929	0.139114	0.001095	0.001211	0.014476	0.193952	0.006958	0.003812	
Sample_199	0.001795	0.00291	0.059447	0.008818	0.007581	0.045805	0.083337	0.092204	0.01893	0.074448	0.003591	0.003591	0.101208	0.000245	0.020216	0.034494	0.026337	0.011427	0.02119	0.029378	0.125814	0.002866	0.000146	0.023353	0.189557	0.008646	0.002667	
Sample_200	0.00224	0.007709	0.063334	0.006204	0.012845	0.040845	0.084432	0.09335	0.022219	0.073436	0.003734	0.004497	0.108728	0.002506	0.006057	0.024569	0.030919	0.006853	0.014112	0.024106	0.111028	0.011713	0.000901	0.016722	0.198227	0.020286	0.008428	
Sample_201	0.0	0.003959	0.06173	0.009768	0.030544	0.044629	0.082733	0.093106	0.02283	0.064645	0.002132	0.008243	0.097644	0.005467	0.006305	0.029567	0.01382	0.012365	0.017349	0.03054	0.121839	0.005041	0.003504	0.007727	0.18047	0.014402	0.029639	
Sample_202	0.0	1.3e-05	0.064292	0.0	0.019251	0.037485	0.079967	0.098957	0.015893	0.062352	0.0	0.0	0.115456	0.010819	0.006588	0.016172	0.013775	0.001065	0.003878	0.021171	0.150801	0.008867	0.00288	0.027442	0.209616	0.024449	0.008813	
Sample_203	0.003238	0.003878	0.081458	0.002926	0.020653	0.037835	0.074058	0.086594	0.011783	0.070306	0.00185	0.007266	0.10979	0.004005	0.022211	0.018664	0.022525	0.006781	0.008892	0.021338	0.119294	0.011066	0.007018	0.003958	0.219248	0.010083	0.013282	
Sample_204	0.00217	0.001824	0.069983	0.010059	0.014821	0.035501	0.069734	0.086402	0.032215	0.075192	0.00124	0.009841	0.111767	0.002914	0.0198	0.022853	0.015745	0.007315	0.010046	0.026682	0.122886	0.007381	0.001765	0.007402	0.219504	0.009176	0.00578	
Sample_205	0.004124	0.00413	0.071095	0.006075	0.013765	0.045647	0.052486	0.08627	0.020428	0.080898	0.006186	0.006793	0.107913	0.000791	0.01393	0.02704	0.024461	0.001857	0.015264	0.026049	0.120621	0.007109	0.006138	0.013468	0.206466	0.016606	0.014393	
Sample_206	0.001052	0.007136	0.075054	0.003338	0.015696	0.042968	0.074439	0.07351	0.024487	0.080172	0.005258	0.004206	0.105755	0.00028	0.013778	0.031734	0.019858	0.013436	0.014723	0.016189	0.123694	0.011051	0.008789	0.011844	0.193229	0.011929	0.016396	
Sample_207	0.00159	0.002871	0.084822	0.010084	0.01592	0.03901	0.087644	0.091984	0.013967	0.079234	0.006359	0.006195	0.104247	0.004238	0.022673	0.0216	0.021018	0.009871	0.00784	0.020778	0.112043	0.00392	0.00334	0.009129	0.205345	0.008046	0.006231	
Sample_208	0.001728	0.004204	0.087135	0.00888	0.017013	0.038871	0.082996	0.090041	0.020379	0.092001	0.003744	0.004266	0.101535	0.002898	0.016547	0.028198	0.027857	0.005115	0.008208	0.020958	0.117214	0.005211	0.001675	0.012066	0.187894	0.008042	0.005325	
Sample_209	0.001475	0.003482	0.093145	0.003298	0.015165	0.044473	0.082031	0.087242	0.009335	0.101183	0.001475	0.011648	0.097694	0.003331	0.015009	0.023838	0.016198	0.000764	0.010117	0.020416	0.108444	0.002326	0.00798	0.009079	0.209562	0.006394	0.014896	
Sample_210	0.001746	0.001344	0.087298	0.004997	0.01498	0.034363	0.087872	0.104832	0.008482	0.084006	0.000436	0.003648	0.120066	0.001781	0.004434	0.022277	0.010785	0.003698	0.006733	0.019907	0.130699	0.004654	0.002648	0.009109	0.216937	0.003731	0.008538	
Sample_211	0.001901	0.001068	0.085534	0.006565	0.013245	0.037417	0.071476	0.097773	0.017062	0.072297	0.000475	0.006578	0.126257	0.002824	0.004342	0.024394	0.008757	0.001881	0.018237	0.03456	0.132257	0.001534	0.000554	0.011849	0.211039	0.006267	0.003857	
Sample_212	0.004724	0.000977	0.091325	0.002067	0.012882	0.051475	0.080646	0.097154	0.00815	0.069826	0.002362	0.004606	0.12191	0.000159	0.014088	0.028634	0.019287	0.004193	0.009007	0.012948	0.131523	0.004201	0.000883	0.00254	0.208711	0.003537	0.012186	
Sample_213	0.005882	0.010335	0.088187	0.002856	0.016176	0.03308	0.073379	0.10886	0.015606	0.057296	0.004412	0.008611	0.121236	0.001509	0.008486	0.016436	0.016168	0.004864	0.01466	0.00913	0.13694	0.000317	0.001796	0.007878	0.222841	0.006183	0.006874	
Sample_214	0.003482	0.004533	0.082193	0.010222	0.011383	0.030634	0.083637	0.091694	0.018189	0.088626	0.001393	0.004875	0.115577	0.011282	0.007431	0.019625	0.013057	0.014901	0.011452	0.029951	0.107036	0.005267	0.003704	0.004247	0.203593	0.007017	0.015001	
Sample_215	0.007782	0.004739	0.085399	0.002263	0.012502	0.040861	0.081158	0.103062	0.026329	0.075029	0.004952	0.003537	0.119215	0.001182	0.003548	0.022728	0.002799	0.012408	0.007591	0.027549	0.109989	0.004316	0.001219	0.00558	0.227536	0.004353	0.002375	
Sample_216	0.003386	0.008982	0.090026	0.009292	0.010158	0.036907	0.072863	0.084652	0.016739	0.075838	0.002257	0.002257	0.121372	0.006114	0.021701	0.021827	0.019705	0.006314	0.00359	0.031172	0.131393	0.010985	0.000123	0.003194	0.185165	0.007428	0.016559	
Sample_217	0.00438	0.00302	0.081497	0.002319	0.012852	0.029888	0.057563	0.094555	0.015509	0.103254	0.00146	0.005839	0.104187	0.001659	0.011572	0.0222	0.014307	0.005522	0.016134	0.020951	0.131574	0.005385	0.005084	0.013871	0.2021	0.019106	0.014213	
Sample_218	0.001259	0.004652	0.074366	0.004031	0.011736	0.033502	0.071195	0.104932	0.019277	0.089527	0.003778	0.008816	0.111542	0.000109	0.013321	0.016487	0.010406	0.010182	0.010154	0.012962	0.113503	0.002946	0.007359	0.029195	0.216335	0.012461	0.005966	
Sample_219	0.0	0.003497	0.077523	0.007106	0.007316	0.036205	0.054978	0.095559	0.003612	0.090791	0.002004	0.007054	0.131876	0.002816	0.029973	0.028354	0.009415	0.005078	0.008937	0.026006	0.118917	0.006954	0.001438	0.010235	0.215678	0.016001	0.002676	
Sample_220	0.004211	0.004307	0.089174	0.002052	0.009409	0.053711	0.061308	0.095298	0.013261	0.081893	0.0	0.004211	0.090943	0.006596	0.019557	0.030046	0.008195	0.001769	0.011256	0.028023	0.132178	0.000929	0.008792	0.005917	0.226137	0.005102	0.005724	
Sample_221	0.0	0.004635	0.096391	0.004471	0.022081	0.025118	0.045568	0.100771	0.014995	0.074077	0.002227	0.00872	0.098372	0.006794	0.01579	0.017942	0.029167	0.007131	0.020018	0.020561	0.119937	0.010911	0.002508	0.009741	0.214949	0.013834	0.013288	
Sample_222	0.0	0.004325	0.080713	0.002005	0.016588	0.01606	0.061541	0.096195	0.014675	0.069498	0.001949	0.003429	0.111723	0.005212	0.013413	0.025934	0.039036	0.004388	0.00566	0.029912	0.126534	0.007978	0.006125	0.017302	0.207202	0.027639	0.004963	
Sample_223	0.003724	0.004995	0.069325	0.008305	0.020001	0.024829	0.046136	0.103431	0.006362	0.094962	0.005587	0.005587	0.089945	0.00226	0.016855	0.009623	0.037958	0.001655	0.014205	0.045646	0.120715	0.01121	0.004108	0.021131	0.220661	0.004933	0.005851	
Sample_224	0.0	0.010007	0.07963	0.003747	0.032666	0.031528	0.048843	0.096829	0.00859	0.080454	0.001712	0.015139	0.070495	0.015158	0.024323	0.029618	0.046987	0.006412	0.004921	0.012348	0.123111	0.000242	0.002015	0.029273	0.199597	0.013528	0.012827	
Sample_225	0.000706	0.005962	0.060081	0.004878	0.009261	0.026742	0.06035	0.066842	0.017939	0.055927	0.002825	0.003939	0.103925	0.003162	0.019833	0.035592	0.04397	0.007049	0.003477	0.023896	0.132702	0.008218	0.007247	0.013164	0.262399	0.012465	0.007448	
Sample_226	0.009901	0.003923	0.058169	0.001354	0.027902	0.027036	0.056711	0.064685	0.013097	0.058922	0.00165	0.019802	0.099772	0.010881	0.018468	0.019938	0.024577	0.004013	0.009202	0.033778	0.127386	0.008471	0.003889	0.017932	0.243244	0.015411	0.019886	
Sample_227	0.0	0.003696	0.055466	0.004597	0.008565	0.037199	0.062187	0.077266	0.013595	0.055942	0.002141	0.008319	0.084179	0.000112	0.024514	0.025864	0.020615	0.002632	0.014212	0.04596	0.151933	0.002386	0.00253	0.010162	0.257429	0.020429	0.00807	
Sample_228	0.00079	0.000886	0.071929	0.007775	0.019152	0.021046	0.064577	0.090167	0.008372	0.061277	0.003949	0.0	0.097759	0.003169	0.010939	0.020674	0.027269	0.004063	0.013456	0.029139	0.157573	0.009003	5.6e-05	0.00503	0.257816	0.008603	0.005531	
Sample_229	0.0006	0.005735	0.079504	0.006538	0.018028	0.022729	0.061804	0.088835	0.009547	0.070982	0.0012	0.009317	0.104976	0.000736	0.011277	0.016994	0.026994	0.006377	0.011199	0.022141	0.143889	0.000226	0.004722	0.007654	0.237294	0.022761	0.007941	
Sample_230	0.0	0.003684	0.086818	0.008425	0.020587	0.025488	0.061197	0.070478	0.021103	0.062311	0.001555	0.001025	0.090588	0.004955	0.018089	0.023961	0.040837	0.011537	0.008825	0.022323	0.127663	0.005247	0.003767	0.026831	0.224987	0.022034	0.005685	
Sample_231	0.001792	0.008196	0.068669	0.015369	0.014659	0.03664	0.057532	0.068355	0.008596	0.066473	0.001792	0.01067	0.113686	0.000633	0.021941	0.02525	0.022704	0.018264	0.011686	0.016585	0.136452	0.003333	0.000102	0.022896	0.232672	0.007173	0.007882	
Sample_232	0.000806	0.005416	0.057644	0.005696	0.01608	0.023132	0.06654	0.098751	0.023091	0.079315	0.003226	0.005625	0.097517	0.004906	0.011326	0.031647	0.02958	0.024671	0.011154	0.02809	0.125242	0.003812	0.005954	0.003465	0.229438	0.001293	0.006584	
Sample_233	0.002304	0.002006	0.049037	0.005308	0.003634	0.032989	0.059829	0.088884	0.031216	0.062884	0.00576	0.01018	0.09527	0.00255	0.01985	0.036045	0.039542	0.026182	0.006996	0.024794	0.141605	0.008756	2.7e-05	0.006218	0.226431	0.0095	0.002199	
Sample_234	0.001497	0.000906	0.055843	0.002946	0.018469	0.018454	0.061878	0.097028	0.026284	0.075247	0.001497	0.008653	0.07841	6.3e-05	0.019644	0.033382	0.042373	0.003742	0.010443	0.021495	0.125836	0.009541	0.006711	0.012655	0.224005	0.019751	0.023245	
Sample_235	0.001702	9.1e-05	0.083824	0.002943	0.019476	0.025765	0.105757	0.108175	0.012492	0.049903	0.003744	0.007127	0.09019	0.000457	0.017263	0.018842	0.009362	0.011133	0.011272	0.031735	0.133208	0.006431	0.001982	0.002224	0.228256	0.003562	0.013084	
Sample_236	0.002451	0.001896	0.099938	0.002907	0.018657	0.027577	0.09308	0.103271	0.029823	0.048386	0.006127	0.001225	0.084713	0.002992	0.018666	0.020021	0.012665	0.005045	0.01649	0.011365	0.134637	0.001952	0.005161	0.008794	0.211861	0.010001	0.020296	
Sample_237	0.00552	0.002552	0.080843	0.003248	0.020339	0.033852	0.10785	0.110602	0.006576	0.051972	0.00644	0.009159	0.071029	0.002517	0.011655	0.031469	0.015458	0.006135	0.010043	0.022632	0.139773	0.006296	0.005283	0.016233	0.210999	0.006639	0.004889	
Sample_238	0.0	0.002019	0.085162	0.006176	0.016502	0.045479	0.100137	0.11697	0.004792	0.0499	0.009901	0.0033	0.06291	0.001816	0.00533	0.016835	0.00936	0.004354	0.012473	0.027052	0.161921	0.009938	4e-05	0.006623	0.232544	0.00468	0.003784	
Sample_239	0.001637	0.014937	0.089576	0.001552	0.008755	0.048406	0.10456	0.090752	0.013089	0.059372	0.003273	0.009434	0.075475	0.010786	0.011828	0.02141	0.012839	0.009916	0.009806	0.026794	0.117377	0.010832	0.007323	0.017534	0.182665	0.023607	0.016464	
Sample_240	0.002498	0.006326	0.082559	0.015292	0.021299	0.038281	0.092861	0.088982	0.020577	0.056317	0.002498	0.003217	0.084371	0.005884	0.020588	0.021785	0.022599	0.008884	0.018359	0.020482	0.121257	0.007752	0.006781	0.021467	0.189962	0.010006	0.009117	
Sample_241	0.0	0.007157	0.07614	0.008333	0.00985	0.034622	0.073556	0.08048	0.020496	0.110529	0.001167	0.012707	0.083255	0.002727	0.012833	0.031696	0.027297	0.010734	0.007348	0.042955	0.094459	0.005258	0.007815	0.007445	0.211759	0.004667	0.014715	
Sample_242	0.0	0.006655	0.064989	0.0	0.016389	0.030083	0.071938	0.092658	0.006941	0.118251	0.001957	0.011742	0.09066	0.010453	0.014987	0.033938	0.020465	0.005564	0.006019	0.024073	0.097264	0.008238	0.000124	0.019723	0.228814	0.009891	0.008182	
Sample_243	0.001818	0.005706	0.069729	0.007274	0.016698	0.024256	0.088798	0.084175	0.035453	0.115402	0.0	0.001818	0.087825	0.001818	0.006216	0.026611	0.016958	0.001821	0.008512	0.027927	0.125102	0.003534	0.001871	0.004	0.222411	0.005596	0.008671	
Sample_244	0.004329	0.00626	0.074579	0.012884	0.027254	0.028073	0.079367	0.072841	0.005215	0.090568	0.001443	0.009608	0.076855	0.004692	0.016021	0.03791	0.03041	0.019759	0.014988	0.010431	0.094943	0.011579	0.000185	0.009399	0.228653	0.022899	0.008857	
Sample_245	0.001031	0.001595	0.056571	0.002878	0.011813	0.034796	0.08634	0.094334	0.015986	0.091876	0.003093	0.009847	0.076799	0.005324	0.014505	0.012462	0.024544	0.002016	0.012811	0.040075	0.126219	0.012748	0.008203	0.006867	0.212014	0.02291	0.012343	
Sample_246	0.001971	0.00428	0.073487	0.002229	0.015934	0.052357	0.075082	0.08379	0.022426	0.085241	0.001314	0.00657	0.073196	0.005194	0.024098	0.030551	0.028055	0.005133	0.006651	0.031618	0.113735	0.006146	0.007164	0.007131	0.19898	0.020809	0.016857	
Sample_247	0.0	0.002363	0.080501	0.010692	0.024443	0.039815	0.073068	0.084934	0.015041	0.093472	0.0	0.0	0.078234	0.006454	0.005294	0.015689	0.012629	0.005665	0.014777	0.027121	0.130121	0.006182	0.000126	0.018445	0.221347	0.032744	0.000842	
Sample_248	0.002642	0.0033	0.050591	0.008616	0.005649	0.040492	0.069217	0.095108	0.018896	0.088469	0.005284	0.011889	0.081184	0.000185	0.019545	0.01729	0.04306	0.00908	0.018185	0.020318	0.105581	0.009832	0.006057	0.007827	0.20338	0.048168	0.010156	
Sample_249	0.008495	0.002762	0.080276	0.004176	0.011173	0.03598	0.060737	0.082433	0.008176	0.078779	0.002427	0.002085	0.103693	0.006716	0.006777	0.018396	0.030272	0.030699	0.017636	0.027335	0.103221	0.010991	0.004159	0.025446	0.202658	0.021492	0.013009	
Sample_250	0.007364	0.015683	0.074681	0.004345	0.027292	0.043587	0.070404	0.08783	0.014476	0.060138	0.002946	0.005551	0.091768	0.00034	0.013554	0.017791	0.018289	0.037474	0.006436	0.01813	0.100262	0.013936	0.018308	0.02739	0.190888	0.013698	0.017441	
Sample_251	0.0	0.004388	0.107348	0.004184	0.013715	0.048343	0.066667	0.078757	0.016248	0.083228	0.003643	0.009107	0.116987	1.2e-05	0.017862	0.003701	0.03402	0.022609	0.005348	0.014987	0.097925	0.002723	0.001881	0.018322	0.205053	0.013728	0.009212	
Sample_252	0.0	0.019008	0.094371	0.002031	0.032766	0.036957	0.09015	0.08101	0.002882	0.067534	0.0	0.008511	0.098242	0.000192	0.003585	0.023825	0.011957	0.010423	0.02305	0.021817	0.105449	0.012229	0.00237	0.013461	0.210226	0.02471	0.003244	
Sample_253	0.0	7.4e-05	0.12501	0.0	0.013482	0.03058	0.071878	0.111576	0.003244	0.083761	0.0	0.0	0.103918	0.007158	0.009258	0.022734	0.013168	0.002725	0.014495	0.035384	0.105178	0.002096	0.001725	0.012476	0.220248	0.001716	0.008117	
Sample_254	0.001981	0.006071	0.075348	0.008237	0.013606	0.03799	0.06951	0.079027	0.010735	0.076207	0.004953	0.004316	0.102649	0.004417	0.033383	0.022994	0.0176	0.004689	0.014369	0.016773	0.106863	0.002284	0.005646	0.005518	0.262147	0.008187	0.004497	
Sample_255	0.002039	0.004526	0.076017	0.007337	0.013596	0.038572	0.07091	0.081321	0.010763	0.076803	0.004077	0.00444	0.105136	0.002304	0.031399	0.023663	0.017581	0.003072	0.010515	0.016217	0.109449	0.002542	0.005838	0.005514	0.263831	0.008537	0.004	
Sample_256	0.001874	0.003659	0.075668	0.007289	0.01262	0.038337	0.067745	0.080566	0.010865	0.07393	0.003749	0.004084	0.105622	0.00436	0.032135	0.023167	0.016803	0.004254	0.013394	0.018268	0.105848	0.002203	0.006497	0.01022	0.264606	0.007725	0.004513	
Sample_257	0.001	0.000675	0.09836	0.008476	0.011182	0.044985	0.081499	0.084915	0.007403	0.080695	0.0035	0.005378	0.097289	0.001657	0.022086	0.018304	0.015166	0.00224	0.012047	0.023069	0.106255	0.004706	0.003861	0.003081	0.250329	0.008409	0.003433	
Sample_258	0.0	0.000128	0.072119	0.003115	0.004021	0.038384	0.077859	0.087	0.005866	0.066979	0.0	0.00134	0.089022	0.002681	0.019011	0.029679	0.039376	0.00254	0.014981	0.030221	0.11814	0.005499	0.005499	0.004201	0.276493	0.005253	0.000592	
Sample_259	0.001029	0.004675	0.074518	0.008395	0.015137	0.032631	0.075411	0.086918	0.016118	0.067617	0.002058	0.003891	0.088971	0.005468	0.019685	0.023978	0.033306	0.002842	0.012923	0.032669	0.093707	0.004195	0.00373	0.012822	0.2624	0.008861	0.006047	
Sample_260	0.001689	0.002671	0.063947	0.00273	0.012492	0.030254	0.069035	0.081719	0.008069	0.082125	0.001689	0.011777	0.109796	0.001764	0.015608	0.032404	0.021857	0.007065	0.006297	0.028558	0.11982	0.004477	0.00204	0.009765	0.248846	0.011916	0.011592	
Sample_261	0.000876	0.002075	0.068022	0.004069	0.016257	0.026011	0.074143	0.092884	0.012198	0.076389	0.001751	0.008724	0.102297	0.00296	0.010678	0.023093	0.024653	0.003626	0.011723	0.023353	0.114633	0.002829	0.003034	0.004877	0.274193	0.004862	0.00979	
Sample_262	0.000834	0.004821	0.070722	0.003651	0.01503	0.026472	0.087872	0.093561	0.003012	0.077876	0.001668	0.00145	0.121824	0.001745	0.005637	0.026859	0.021861	0.000497	0.019256	0.021386	0.109669	0.007082	3.1e-05	0.009424	0.243254	0.013258	0.011246	
Sample_263	0.000801	0.001864	0.074538	0.004734	0.013098	0.030953	0.082206	0.088592	0.008387	0.071957	0.001441	0.005635	0.113337	0.002557	0.012696	0.018805	0.022065	0.002847	0.01496	0.021339	0.125227	0.003759	0.002722	0.008387	0.251011	0.010087	0.005996	
Sample_264	0.003322	0.001766	0.074001	0.0	0.021595	0.027228	0.094645	0.071898	0.014011	0.070257	0.0	0.011084	0.105333	0.003322	0.007266	0.033426	0.028525	0.000481	0.009356	0.028933	0.113516	0.001841	0.000108	0.010086	0.247905	0.017234	0.00286	
Sample_265	0.000742	0.000535	0.065354	0.000951	0.011768	0.042885	0.073208	0.096309	0.014945	0.061513	0.00297	0.003691	0.129922	0.00272	0.011728	0.026898	0.005015	0.004321	0.010236	0.018657	0.116427	0.003524	0.002094	0.009064	0.278035	0.003583	0.002903	
Sample_266	0.002868	0.001319	0.062458	0.002792	0.010048	0.044946	0.065049	0.077842	0.02264	0.074216	0.001912	0.008604	0.116625	0.003934	0.033322	0.019378	0.008027	0.006375	0.008061	0.01084	0.094076	0.013551	0.005532	0.01099	0.271765	0.0079	0.014928	
Sample_267	0.0	0.002734	0.075538	0.009569	0.018655	0.051195	0.054153	0.089277	0.013362	0.049398	0.00152	0.00304	0.107086	0.001644	0.019217	0.023135	0.016325	0.007088	0.006294	0.02959	0.123285	0.002662	0.000141	0.008533	0.274353	0.006902	0.005304	
Sample_268	0.0	8e-05	0.083559	0.012875	0.014845	0.043735	0.057747	0.10417	0.016904	0.058124	0.000973	0.007243	0.094813	0.003321	0.009282	0.021543	0.019553	0.006068	0.009121	0.028904	0.119396	0.001728	8.4e-05	0.011496	0.258192	0.013211	0.003033	
Sample_269	0.0	0.002213	0.05397	0.012108	0.018075	0.041934	0.066166	0.091806	0.003083	0.053	0.000789	0.005525	0.105059	0.006424	0.019205	0.03076	0.009365	0.001434	0.01012	0.019437	0.122504	0.004011	0.008322	0.009662	0.257769	0.031806	0.015454	
Sample_270	0.0	0.001379	0.106767	0.006213	0.014454	0.046012	0.065489	0.090102	0.014891	0.06821	0.0	0.003789	0.114357	0.0	0.009428	0.018673	0.008468	0.003596	0.016006	0.017696	0.088526	0.004042	0.00363	0.014833	0.271723	0.004224	0.007491	
Sample_271	0.000873	0.004079	0.052563	0.022783	0.012365	0.033063	0.057472	0.08099	0.020884	0.074355	0.00262	0.006578	0.117215	0.001107	0.015053	0.031002	0.029242	0.008772	0.008326	0.017932	0.096813	0.002941	0.005766	0.022677	0.253353	0.016222	0.004955	
Sample_272	0.0	0.001844	0.055493	0.006619	0.008929	0.027442	0.060255	0.093321	0.006234	0.077524	0.001276	0.014894	0.114494	0.000324	0.009457	0.030925	0.032242	0.009314	0.018429	0.020947	0.095746	0.011966	0.009144	0.016135	0.262046	0.011555	0.003446	
Sample_273	0.0	0.001752	0.044041	0.00271	0.01538	0.024306	0.059876	0.10221	0.005705	0.076904	0.0	0.003595	0.123488	0.004367	0.008301	0.020313	0.03688	0.007091	0.008172	0.025801	0.118311	0.00815	0.000801	0.007927	0.290985	0.002571	0.000365	
Sample_274	0.004566	0.000209	0.052377	0.0	0.002283	0.018821	0.045152	0.096482	0.014378	0.090534	0.002283	0.00881	0.145139	0.000122	0.008897	0.029869	0.030385	0.007598	0.000969	0.014138	0.115767	0.004974	0.005084	0.01014	0.268956	0.010596	0.01147	
Sample_275	0.002475	8.8e-05	0.060412	0.012222	0.006904	0.039246	0.062368	0.090601	0.016953	0.087633	0.00495	0.010864	0.104813	0.002623	0.013399	0.031374	0.033227	0.004718	0.003902	0.011492	0.080368	0.005811	0.00684	0.011017	0.274223	0.007618	0.013858	
Sample_276	0.002509	0.000551	0.06118	0.004371	0.017255	0.041069	0.056187	0.102186	0.006095	0.085733	0.003764	0.006274	0.093577	0.005233	0.019634	0.023173	0.014784	0.001057	0.006925	0.025738	0.091505	0.002738	0.004822	0.011639	0.288296	0.004569	0.019136	
Sample_277	0.003735	0.00474	0.058086	0.007729	0.013779	0.017255	0.065234	0.087473	0.016987	0.087167	0.001867	0.007401	0.101635	0.003824	0.025657	0.015088	0.040472	0.007491	0.00898	0.030602	0.111817	0.008341	0.001113	0.016937	0.238729	0.010043	0.007817	
Sample_278	0.0	0.004525	0.064842	0.01067	0.018874	0.015803	0.082766	0.085916	0.010143	0.084079	0.001098	0.016359	0.08619	0.008648	0.02116	0.01567	0.028789	0.014335	0.008482	0.030362	0.099079	0.006527	0.001343	0.018196	0.248702	0.008256	0.009185	
Sample_279	0.007257	0.013156	0.048192	0.012473	0.0105	0.017911	0.054928	0.094199	0.020902	0.083299	0.0	0.005734	0.093713	0.004015	0.037964	0.019	0.027578	0.00792	0.014292	0.019379	0.113536	0.001022	0.003255	0.008751	0.258547	0.003709	0.018771	
Sample_280	0.002717	0.00282	0.041051	0.007766	0.01	0.029236	0.092006	0.085355	0.014879	0.100942	0.001359	0.009397	0.093293	0.001853	0.01023	0.015275	0.040801	0.002346	0.00696	0.025079	0.104485	0.011565	0.001595	0.004154	0.254793	0.015155	0.014888	
Sample_281	0.0	0.004391	0.071529	0.006201	0.014355	0.018313	0.075653	0.082452	0.019313	0.090646	0.004444	0.004193	0.114125	0.012567	0.031737	0.036051	0.021349	0.006067	0.001276	0.020539	0.081054	0.011363	0.000136	0.016893	0.242008	0.010451	0.002895	
Sample_282	0.002349	0.021451	0.075318	0.006073	0.019475	0.036755	0.079714	0.072826	0.013613	0.073022	0.001175	0.004198	0.113513	0.007239	0.029453	0.030183	0.016082	0.00784	0.016303	0.020952	0.069116	0.005646	0.002066	0.015917	0.247607	0.005056	0.007058	
Sample_283	0.006912	0.003023	0.073489	0.007954	0.012335	0.033936	0.079093	0.083993	0.014561	0.074776	0.001382	0.001843	0.121626	0.002531	0.018701	0.021929	0.016706	0.00291	0.011248	0.030219	0.089269	0.006293	0.004198	0.020537	0.239187	0.009916	0.011432	
