	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_100	0.006443	0.407203	0.044749	0.103833	0.020867	0.004746	0.165532	0.008575	0.053421	0.056295	0.015252	0.014968	0.098116	
Sample_101	0.002695	0.408091	0.013502	0.115168	0.007418	0.007228	0.192919	0.003204	0.066141	0.032203	0.009207	0.015892	0.126333	
Sample_102	0.015609	0.369257	0.02576	0.146237	0.024916	0.003894	0.137987	0.003839	0.092633	0.062069	0.010131	0.016188	0.09148	
Sample_103	0.007344	0.35235	0.02927	0.113447	0.037178	0.007719	0.136918	0.003217	0.085098	0.077434	0.029351	0.037737	0.082939	
Sample_104	0.018574	0.313423	0.023097	0.143988	0.025341	0.010928	0.160877	0.013459	0.10506	0.055267	0.021445	0.032586	0.075955	
Sample_105	0.009754	0.347086	0.006941	0.075486	0.021827	0.00754	0.151541	0.006904	0.12704	0.052255	0.037852	0.034129	0.121646	
Sample_106	0.030949	0.323174	0.005934	0.128723	0.01184	0.014436	0.133439	0.002619	0.116777	0.031168	0.044186	0.044811	0.111944	
Sample_107	0.005108	0.358191	0.019354	0.155278	0.066872	1.1e-05	0.090819	0.009462	0.058015	0.06523	0.040085	0.038136	0.093439	
Sample_108	0.010654	0.361732	0.015621	0.133741	0.029348	0.011825	0.109293	0.007659	0.043751	0.075549	0.027459	0.041059	0.132309	
Sample_109	0.004176	0.355551	0.002969	0.146689	0.016805	1.7e-05	0.111618	0.000215	0.054474	0.044985	0.009999	0.038772	0.213731	
Sample_110	0.011251	0.372218	0.009114	0.135232	0.021767	0.007937	0.0869	0.00672	0.085455	0.039977	0.021044	0.023953	0.178432	
Sample_111	0.028295	0.23565	0.014947	0.044944	0.025842	0.018309	0.188926	0.002731	0.180036	0.087022	0.029965	0.006953	0.136381	
Sample_112	0.049384	0.270693	0.028295	0.045	0.012855	0.036534	0.141396	0.006529	0.162284	0.105921	0.045117	0.026406	0.069586	
Sample_113	0.021112	0.179073	0.014221	0.087875	0.054331	0.125913	0.181567	0.015191	0.086815	0.067073	0.034805	0.017125	0.114899	
Sample_114	0.01706	0.164588	0.002339	0.053469	0.032108	0.073161	0.188566	0.013157	0.127311	0.069047	0.111436	0.044654	0.103104	
Sample_115	0.016437	0.200898	0.010898	0.041058	0.012266	4.4e-05	0.288121	0.010029	0.040622	0.033578	0.034748	0.032895	0.278407	
Sample_116	0.003649	0.186681	0.020247	0.069127	0.033069	2.6e-05	0.256556	0.008143	0.034745	0.068264	0.024386	0.00542	0.289687	
Sample_117	0.007594	0.210329	0.013686	0.025743	0.01846	0.009488	0.324756	0.002741	0.018073	0.117696	0.014919	0.010974	0.225541	
Sample_118	0.002364	0.094644	0.012696	0.086017	0.007786	0.007891	0.352724	0.003257	0.033498	0.038871	0.002628	0.008127	0.349497	
Sample_119	0.010882	0.217897	0.000582	0.09636	0.00652	0.003766	0.202402	0.003685	0.040579	0.035988	0.014	0.016432	0.350906	
Sample_120	0.003183	0.130716	0.027842	0.071448	0.007816	1.6e-05	0.19946	0.007083	0.093808	0.064188	0.014871	0.02751	0.35206	
Sample_121	0.007578	0.077126	0.010356	0.155012	0.008758	1e-06	0.225433	0.002073	0.021079	0.057752	0.008642	0.002848	0.423343	
Sample_122	0.006543	0.188055	0.015511	0.115343	0.008008	0.017414	0.196354	0.000808	0.112162	0.023599	0.030709	0.031936	0.253558	
Sample_123	0.027564	0.19016	0.008305	0.107206	0.022763	1.4e-05	0.192529	0.007288	0.117561	0.054693	0.017895	0.043239	0.210784	
Sample_124	0.009622	0.150506	0.008983	0.105198	0.03949	3e-05	0.189421	0.006797	0.102057	0.06491	0.06864	0.030425	0.22392	
Sample_125	0.036246	0.164802	0.011459	0.108039	0.040374	1.9e-05	0.143671	0.012702	0.114458	0.106357	0.019255	0.017109	0.225509	
