	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_100	0.055584	0.006996	0.300191	0.037692	0.000597	0.0	1e-06	0.000498	0.014221	0.498571	0.013354	0.061144	0.011152	
Sample_101	0.05564	0.0	0.326538	0.00809	0.028965	0.0	0.001147	0.007625	0.001306	0.519445	0.004287	0.038829	0.008127	
Sample_102	0.096854	0.009563	0.318996	0.026115	0.01284	0.0	0.0	0.016071	0.003472	0.490286	0.007419	0.01698	0.001403	
Sample_103	6.1e-05	0.0	0.335662	0.059442	0.031767	0.015164	0.00569	0.024735	0.004151	0.466072	0.003591	0.049358	0.004308	
Sample_104	0.016012	0.0	0.370183	0.043957	0.00276	0.0	0.0	0.002271	0.009106	0.513554	0.013085	0.016102	0.01297	
Sample_105	7.2e-05	0.016545	0.268183	0.04774	0.065988	0.0	1e-06	0.019942	0.01979	0.484042	0.025739	0.046293	0.005663	
Sample_106	0.029444	0.010758	0.266043	0.077906	0.04849	0.0	1e-06	0.00823	0.024744	0.454369	0.018634	0.061342	4e-05	
Sample_107	0.040503	0.0	0.22475	0.034749	0.013927	0.0	0.015079	0.001006	0.005275	0.624825	0.012392	0.02125	0.006245	
Sample_108	0.021732	0.00442	0.262669	0.048342	0.029077	0.0	1e-06	0.006738	0.005275	0.606312	0.014192	0.00122	2.2e-05	
Sample_109	0.055089	0.0	0.250146	0.048103	0.007874	0.0	0.0	0.017388	0.005106	0.542885	0.023035	0.046494	0.00388	
Sample_110	4.7e-05	0.001374	0.315548	0.008773	0.001266	0.0	0.0	0.003346	0.003742	0.58815	0.00278	0.06554	0.009433	
Sample_111	0.032594	0.0	0.168647	0.074594	0.017672	0.0	0.0	0.007776	0.012291	0.644179	0.008633	0.02497	0.008645	
Sample_112	0.085106	0.002836	0.152445	0.033518	0.024435	0.0	0.0	0.0121	5.4e-05	0.65376	0.010838	0.017482	0.007426	
Sample_113	0.023196	0.0	0.178048	0.025641	0.058963	0.0	1e-06	0.066238	0.000119	0.625056	0.001691	0.020876	0.000171	
Sample_114	6.3e-05	0.0	0.100894	0.016674	0.010449	0.010258	0.0	0.000376	0.011056	0.832721	0.002053	0.006624	0.008832	
Sample_115	0.135508	0.0	0.139497	0.036598	0.000619	0.009716	0.033063	0.031103	4e-05	0.580929	0.009898	0.012275	0.010755	
Sample_116	0.000119	0.0	0.001726	0.041026	0.000393	0.072085	0.073692	0.016103	0.000144	0.662094	0.084927	0.040622	0.007069	
Sample_117	0.019748	0.0	0.01193	0.033146	0.000581	0.104581	0.006855	0.000622	0.040059	0.611313	0.137854	0.004931	0.02838	
Sample_118	0.025666	0.0	0.011711	0.000669	0.000904	0.05905	1e-06	0.030388	0.126664	0.61675	0.085313	0.019556	0.023328	
Sample_119	5.6e-05	0.0	0.001053	0.003379	0.000163	0.164068	2e-06	0.014031	0.024698	0.624223	0.043484	0.1035	0.021343	
Sample_120	7.7e-05	0.0	0.001702	0.005181	0.004864	0.183887	1e-06	0.000712	0.010347	0.593122	0.091329	0.108713	6.4e-05	
Sample_121	7.9e-05	0.0	0.002015	0.001677	0.001176	0.167842	1e-06	0.017732	0.054878	0.670763	0.033458	0.050185	0.000194	
Sample_122	0.026837	0.0	0.005725	0.001356	0.00044	0.0946	2e-06	0.038876	0.01364	0.580462	0.088486	0.149528	4.5e-05	
Sample_123	0.000208	0.0	0.009862	0.00082	0.063215	0.0	0.029783	0.059226	0.079273	0.518999	0.16676	0.025363	0.046491	
Sample_124	0.000245	0.030907	0.02833	0.020431	0.003488	0.0	0.032362	0.015849	0.162656	0.401301	0.129003	0.155639	0.019787	
Sample_125	0.336393	0.0	0.225855	0.089655	0.027691	0.0	0.010174	0.053882	0.025716	0.190187	0.023298	0.008467	0.008683	
Sample_126	0.33291	0.0	0.18283	0.083959	0.000466	0.0	0.01389	0.042098	0.02991	0.250319	0.007193	0.043574	0.012853	
Sample_127	0.389221	0.0	0.213865	0.02072	0.000941	0.017631	0.006289	0.035069	7.1e-05	0.221276	0.017492	0.044084	0.033341	
Sample_128	0.376757	0.00439	0.168403	0.05267	0.048357	0.0	0.0	0.006932	0.001668	0.243993	0.020548	0.069667	0.006615	
Sample_129	0.475922	0.0	0.119114	0.000301	0.052276	0.013999	0.0	0.000998	8.1e-05	0.236364	0.013869	0.070185	0.016892	
Sample_130	0.242283	0.0	0.238172	0.000741	0.107579	0.019245	1e-06	0.026662	0.008711	0.27012	0.032884	0.038871	0.014731	
Sample_131	0.245071	0.0	0.247594	0.067816	0.058323	0.009733	0.0	0.023376	0.009953	0.240322	0.035836	0.054686	0.007289	
Sample_132	0.331967	0.012906	0.240642	0.011195	0.095576	0.0	1e-06	0.000462	8.6e-05	0.194895	0.02276	0.063314	0.026197	
Sample_133	0.281765	0.006821	0.162313	0.027742	0.098713	0.0	0.0	0.010871	0.008171	0.269953	0.011827	0.110516	0.011308	
Sample_134	0.331525	0.0	0.174008	0.063567	0.013249	0.022114	1e-06	0.047039	0.010332	0.130871	0.028627	0.162054	0.016613	
Sample_135	0.222081	0.0099	0.210783	0.021826	0.042058	0.0	0.0	0.143667	0.020428	0.238903	0.022035	0.049296	0.019021	
Sample_136	0.1461	0.0	0.154065	0.081531	0.060485	0.0	0.017956	0.073853	0.000132	0.256848	0.063868	0.140244	0.004918	
Sample_137	0.211511	0.0	0.131669	0.177676	0.041972	0.0	1e-06	0.054427	0.00016	0.25412	0.044443	0.069975	0.014047	
Sample_138	0.218089	0.0	0.159405	0.215168	0.097447	0.03932	0.01981	0.029285	0.029792	0.081804	0.014787	0.060716	0.034378	
Sample_139	0.252032	0.0	0.171851	0.186255	0.037423	0.0	0.00698	0.048744	0.012462	0.132078	0.066515	0.067026	0.018632	
Sample_140	0.420534	0.0	0.132668	0.175169	0.074717	0.0	0.034336	0.031857	0.021689	0.067425	0.01105	0.023846	0.00671	
Sample_141	0.040217	0.0	0.306636	0.08085	0.060553	0.0	0.0	0.021437	2.7e-05	0.13342	0.046721	0.297946	0.012194	
Sample_142	2.6e-05	0.003005	0.473271	0.060565	0.082347	0.0	0.0	0.010373	0.013009	0.046341	0.065896	0.2347	0.010467	
Sample_143	0.012474	0.0	0.250333	0.049868	0.012615	0.0	0.005957	0.032881	0.007623	0.017671	0.013762	0.591151	0.005666	
Sample_144	0.005167	0.004109	0.309243	0.276168	0.074953	0.0	0.007305	0.04713	0.034692	0.030137	0.071056	0.109909	0.03013	
Sample_145	0.108693	0.0099	0.233667	0.265691	0.092158	0.0	0.00181	0.038918	0.016616	0.065747	0.032358	0.101843	0.032598	
Sample_146	0.117943	0.0	0.216903	0.191747	0.063006	0.0	1e-06	0.002126	0.017666	0.134868	0.015808	0.212032	0.027901	
Sample_147	0.126437	0.0	0.190361	0.428519	0.01025	0.0	0.010418	0.088957	0.016858	0.011196	0.044244	0.035009	0.03775	
Sample_148	0.154304	0.0	0.210987	0.344903	0.028168	0.0	0.014125	0.030332	0.007567	0.165205	0.018276	0.018324	0.007809	
Sample_149	0.02489	0.0	0.002964	0.620707	0.026589	0.0	0.003203	0.006969	0.066771	0.050368	0.048587	0.109648	0.039305	
Sample_150	0.018419	0.0	0.019388	0.640119	0.022071	0.0	0.002769	0.006408	0.058757	0.053168	0.042107	0.097562	0.039234	
Sample_151	0.028853	0.005573	0.167579	0.085846	0.484406	0.0	0.002087	0.010754	0.00969	0.03294	0.026988	0.131065	0.014219	
Sample_152	0.027951	0.007513	0.184935	0.110532	0.440678	0.0	0.003796	0.014083	0.013215	0.022223	0.028661	0.130183	0.01623	
Sample_153	0.063605	0.009729	0.147171	0.105736	0.451795	0.0	0.005269	0.007129	0.009907	0.060881	0.029664	0.093939	0.015175	
Sample_154	3.8e-05	0.009619	0.157016	0.069363	0.621265	0.0	0.0	0.012693	0.003214	0.03465	0.017058	0.05284	0.022243	
Sample_155	0.000219	0.024864	0.090868	0.006012	0.347665	0.0	1e-06	0.080882	0.009214	0.332478	0.072298	0.00964	0.025861	
Sample_156	9.3e-05	0.116243	0.002543	0.004796	0.278175	0.0	0.004812	0.03441	0.165573	0.079426	0.136317	0.112802	0.064808	
Sample_157	0.000121	0.028503	0.054105	0.00488	0.071056	0.0	0.020095	0.022313	0.413274	0.091902	0.112283	0.152253	0.029214	
Sample_158	0.000183	0.0	0.041216	0.000415	0.013809	0.025288	1e-06	0.041008	0.405298	0.165499	0.089132	0.199786	0.018365	
Sample_159	0.000143	0.0	0.044241	0.015032	0.185224	0.0	0.00353	0.07406	0.321041	0.020275	0.195686	0.062482	0.078285	
Sample_160	0.000122	0.0	0.051486	0.011746	0.059847	0.0	0.026156	0.060845	0.226354	0.059213	0.064396	0.439737	9.7e-05	
Sample_161	0.000184	0.0	0.067477	0.013459	0.030571	0.0	0.030262	0.061662	0.271914	0.068801	0.120134	0.282421	0.053113	
Sample_162	0.000151	0.038583	0.0039	0.020041	0.077142	0.0	0.030812	0.111073	0.101386	0.095468	0.270141	0.176179	0.075124	
Sample_163	0.068648	0.0	0.013435	0.036695	0.067801	0.054977	2e-06	0.077985	0.107406	0.039754	0.324746	0.16651	0.042041	
Sample_164	0.035359	0.0	0.006165	0.028593	0.036069	0.050016	0.057065	0.158808	0.134077	0.06321	0.189593	0.190481	0.050564	
Sample_165	0.010158	0.024187	0.003164	0.024844	0.060721	0.0	0.012278	0.036517	0.121648	0.188838	0.235247	0.226434	0.055964	
Sample_166	0.055919	0.0	0.016552	0.019322	0.051501	0.0	1e-06	0.08762	0.145343	0.114023	0.220313	0.234203	0.055202	
Sample_167	0.000247	0.0	0.015518	0.056152	0.087731	0.0	0.015346	0.072548	0.208406	0.119489	0.218286	0.175256	0.031021	
Sample_168	9.4e-05	0.008158	0.003792	0.080073	0.019855	0.032125	2e-06	0.09165	0.200266	0.196965	0.150628	0.187886	0.028505	
Sample_169	0.026731	0.0	0.029266	0.015326	0.000691	0.0	0.017087	0.103581	0.17738	0.2237	0.19871	0.185739	0.021789	
Sample_170	0.000198	0.0	0.010884	0.126315	0.023754	0.0	1e-06	0.070999	0.103848	0.127917	0.353413	0.122226	0.060444	
Sample_171	0.013558	0.013159	0.009035	0.133159	0.044891	0.002362	1e-06	0.073781	0.111092	0.112758	0.267856	0.132854	0.085494	
Sample_172	0.027508	0.0	0.101785	0.089504	0.033915	0.0	2e-06	0.071921	0.111071	0.10243	0.267633	0.142404	0.051827	
Sample_173	0.006063	0.0	0.021243	0.116878	0.008697	0.008953	0.010028	0.091891	0.061988	0.178121	0.276794	0.189796	0.029546	
Sample_174	0.013154	0.0	0.070545	0.109595	0.010882	0.002748	0.014631	0.11813	0.069121	0.175161	0.247618	0.144388	0.024027	
Sample_175	0.017204	0.0	0.032018	0.0725	0.008393	0.022271	0.026636	0.092255	0.18969	0.137784	0.2673	0.085954	0.047994	
Sample_176	0.000197	0.019401	0.01067	0.169814	0.012697	0.0	2e-06	0.082259	0.196697	0.089728	0.321391	0.068911	0.028234	
Sample_177	0.035609	0.0	0.034458	0.074096	0.020213	0.03412	0.01742	0.017549	0.039382	0.141589	0.408522	0.15193	0.025111	
Sample_178	0.000147	0.0	0.00322	0.011789	0.062654	0.0	0.023209	0.024057	0.053735	0.18868	0.419943	0.188179	0.024385	
Sample_179	0.000117	0.0	0.009015	0.028761	0.053216	0.03767	0.020778	0.088231	0.036705	0.138389	0.401188	0.123061	0.062867	
Sample_180	0.016326	0.0	0.004839	0.035541	0.070467	0.0	0.006058	0.077538	0.135651	0.179225	0.348802	0.117908	0.007644	
Sample_181	0.0002	0.034919	0.00266	0.028263	0.043108	0.0	0.032167	0.051736	0.168051	0.223152	0.304431	0.111084	0.000227	
