	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	
Sample_141	6e-06	0.0	0.0	0.003569	0.010317	0.015936	0.01854	0.019701	0.015613	5.6e-05	0.041406	0.003805	0.018711	2.8e-05	0.241723	0.490751	0.05727	0.062568	
Sample_142	9e-06	0.02211	0.0	0.029704	0.017785	0.032499	0.0	0.031702	0.035607	5e-05	0.056165	0.033387	0.032963	8e-06	0.19479	0.402504	0.036692	0.074025	
Sample_143	5e-06	0.0	0.0	0.015542	0.002468	0.006698	0.0	0.052787	0.022758	7.4e-05	0.035434	0.006533	0.000582	0.015596	0.28166	0.409314	0.094625	0.055923	
Sample_144	8e-06	0.0	0.0	0.003839	0.02468	0.004557	0.0	0.095677	0.093503	0.000103	0.073699	0.002711	0.006434	0.017196	0.131501	0.416357	0.055724	0.07401	
Sample_145	1e-06	0.0	0.0	0.208254	0.083926	0.006945	0.0	0.039432	0.161651	9e-06	0.077114	0.028288	0.034062	0.003387	0.021318	0.093112	0.208409	0.034092	
Sample_146	0.237329	0.0	0.007307	0.162455	0.043625	0.016705	0.0	0.085715	0.064143	0.011121	0.081587	0.083297	0.014579	0.008174	0.017522	0.078112	0.060544	0.027785	
Sample_147	0.204075	0.0	0.009583	0.182669	0.046614	0.020048	0.0	0.080528	0.058897	0.01234	0.075479	0.101291	0.018671	0.009175	0.018168	0.068624	0.069878	0.02396	
Sample_148	0.230749	0.0	0.007144	0.128986	0.049219	0.009264	0.00473	0.069137	0.053833	0.020286	0.111428	0.097242	0.015748	0.011243	0.019897	0.095398	0.050322	0.025376	
Sample_149	0.351112	0.0	0.011148	0.160801	0.031923	0.020611	0.0	0.061772	0.007242	0.016424	0.082421	0.090817	0.006119	0.01006	0.018685	0.08652	0.031846	0.012499	
Sample_150	0.124003	0.0	0.0	0.148233	0.048292	0.00071	0.004983	0.034567	0.008653	7.3e-05	0.152476	0.10585	0.072372	0.035808	0.026467	0.100689	0.072521	0.064304	
Sample_151	0.171208	0.0	0.0	0.287882	0.137365	0.009825	0.0	0.033643	0.00122	0.009019	0.077636	0.063735	0.001235	0.016662	0.024866	0.145983	0.019065	0.000654	
Sample_152	0.008705	0.0	0.0	0.028764	0.306853	0.01881	0.021973	0.019236	0.013316	3.2e-05	0.181331	0.227267	0.000743	0.027035	0.009239	0.051192	0.021143	0.064362	
Sample_153	0.035364	0.0	0.0	0.040985	0.237431	0.032777	0.0	0.004438	0.001789	2.5e-05	0.152035	0.153329	0.013907	0.018528	0.028722	0.11997	0.063455	0.097246	
Sample_154	1.9e-05	0.0	0.0	0.018209	0.023128	0.019207	0.0	0.130335	0.075479	0.008815	0.14032	0.021792	0.036448	0.244498	0.054726	0.157686	0.012515	0.056823	
Sample_155	4e-06	0.003262	0.0	0.082786	0.006471	0.130142	0.0	0.276331	0.036944	3e-05	0.168792	0.063104	0.021068	1.4e-05	0.040442	0.072581	0.040696	0.057331	
Sample_156	3e-06	0.003904	0.0	0.118681	0.004496	0.116066	0.0	0.145207	0.039159	1.7e-05	0.167983	0.063615	0.015139	9e-06	0.058191	0.194665	0.027664	0.045203	
Sample_157	1e-06	0.00539	0.0	0.198008	0.059291	0.008489	0.0	0.349705	0.066951	0.013603	0.051925	0.043592	0.009662	0.007619	0.024699	0.070632	0.055998	0.034435	
Sample_158	1.1e-05	0.0	0.095553	0.039748	0.04773	0.083356	0.0	0.110789	0.002328	6.5e-05	0.044529	0.033761	0.086032	0.0073	0.021706	0.116012	0.104052	0.207028	
Sample_159	0.029956	0.0	0.015759	0.033798	0.008944	0.093246	0.0	0.180971	0.011905	5.3e-05	0.078722	0.036095	0.048203	0.04513	0.023129	0.077516	0.150153	0.166421	
Sample_160	0.04345	0.018464	0.036554	0.040323	0.033384	0.054352	0.0	0.219009	0.022234	4.9e-05	0.063842	0.007569	0.10148	0.01491	0.038572	0.11049	0.025689	0.169629	
Sample_161	1.1e-05	0.0	0.0	0.040954	0.029669	0.037583	0.03046	0.267562	0.013229	5.5e-05	0.085414	0.010432	0.071547	0.011312	0.04391	0.153107	0.011478	0.193277	
Sample_162	0.0306	0.034679	0.0	0.05635	0.021994	0.030221	0.011208	0.306157	0.01266	0.007188	0.064933	0.013816	0.06699	0.020433	0.017305	0.075473	0.100305	0.129686	
Sample_163	0.027311	0.043196	0.0	0.022125	0.074018	0.044738	0.0	0.049384	0.024728	9.6e-05	0.052191	0.036149	0.02141	0.033472	0.089951	0.160901	0.080035	0.240296	
Sample_164	1.2e-05	0.0	0.0	0.018627	0.02274	0.030944	0.016162	0.088822	0.015881	0.000114	0.008353	0.054365	0.075408	0.015224	0.104178	0.173594	0.094065	0.281509	
Sample_165	8e-06	0.0	0.010908	0.036191	0.082774	0.000981	0.0	0.050264	0.045338	0.03115	0.086983	0.027374	0.099971	2.3e-05	0.028454	0.186612	0.069135	0.243832	
Sample_166	0.034866	0.0	0.0	0.011079	0.067789	0.015307	0.0	0.071454	0.004305	0.018173	0.077836	0.03984	0.076869	4.6e-05	0.053526	0.166501	0.085948	0.276459	
Sample_167	8e-06	0.015177	0.0	0.040134	0.080397	0.068063	0.0	0.040441	0.030942	6.8e-05	0.04275	0.067299	0.082306	2.2e-05	0.032179	0.193533	0.040818	0.265864	
Sample_168	7e-06	0.0	0.0	0.007989	0.019692	0.061734	0.02603	0.056684	0.048547	6.2e-05	0.029505	0.029473	0.077083	0.022482	0.078086	0.172091	0.163769	0.206765	
Sample_169	1.7e-05	0.0	0.0	0.021176	0.060863	0.022388	0.004518	0.032658	0.036245	8.9e-05	0.078109	0.011453	0.083714	0.016181	0.050031	0.178701	0.161877	0.241978	
Sample_170	0.005965	0.0	0.0	0.033878	0.026855	0.089459	0.0	0.028989	0.034264	6.2e-05	0.044172	0.030155	0.087729	0.035633	0.075266	0.141803	0.112386	0.253384	
Sample_171	8e-06	0.0	0.0	0.005123	0.06736	0.021448	0.01305	0.08514	0.003421	0.033605	0.032607	0.004734	0.006854	0.010893	0.065253	0.256762	0.135718	0.258023	
Sample_172	8e-06	0.0	0.0	0.021792	0.076038	0.033943	0.014816	0.090283	0.014962	0.022863	0.085497	0.012618	0.03903	0.028624	0.056811	0.176375	0.134194	0.192144	
Sample_173	9e-06	0.047483	0.0	0.021886	0.007103	0.025531	0.0	0.092596	0.050249	5.4e-05	0.039299	0.01494	0.043868	0.00423	0.071326	0.246014	0.15374	0.181671	
Sample_174	1.2e-05	0.0	0.067998	0.010804	0.042028	0.012396	0.0	0.064893	0.020574	0.048809	0.105038	0.017318	0.096606	4.9e-05	0.063146	0.198753	0.054092	0.197485	
Sample_175	0.01661	0.0	0.041375	0.006035	0.003547	0.009978	0.0	0.092417	0.006353	0.000111	0.08368	0.057769	0.092267	0.021754	0.039059	0.205459	0.092823	0.230765	
Sample_176	1.1e-05	0.0	0.0	0.004328	0.061099	0.029404	0.054782	0.105781	0.007932	0.007924	0.096087	0.012549	0.05065	8.1e-05	0.032966	0.256261	0.048168	0.231979	
Sample_177	0.010594	0.0	0.0	0.018624	0.039474	0.04723	0.0	0.123974	0.056831	9.2e-05	0.049706	0.051003	0.111864	0.02225	0.012515	0.137015	0.083449	0.235379	
Sample_178	9e-06	0.0	0.027595	0.035358	0.039248	0.048357	0.0	0.112785	0.050558	4.4e-05	0.079399	0.033335	0.10311	0.010845	0.032003	0.140569	0.058297	0.228488	
Sample_179	1.5e-05	0.0	0.0	0.046511	0.037325	0.027096	0.019811	0.076359	0.015243	6.6e-05	0.100618	0.046725	0.131146	0.046555	0.032025	0.160338	0.045643	0.214525	
Sample_180	0.014541	0.0	0.0	0.016928	0.007112	0.043217	0.018785	0.105971	0.047188	9.9e-05	0.048427	0.023954	0.133146	0.043019	0.031389	0.175868	0.107765	0.182592	
Sample_181	1.5e-05	0.0	0.022208	0.040013	0.100958	0.037604	0.0	0.026409	0.012597	7e-05	0.086814	0.040021	0.007002	3e-05	0.054773	0.134643	0.135527	0.301316	
Sample_182	9e-06	0.042237	0.0	0.022298	0.08783	0.033911	0.0	0.014093	0.028245	0.055558	0.079857	0.016364	0.019989	2.9e-05	0.048258	0.123777	0.149689	0.277855	
Sample_183	0.008352	0.012075	0.0	0.032632	0.090956	0.084359	0.0	0.029498	0.039248	0.058626	0.035329	0.049951	0.017802	1.5e-05	0.040237	0.130233	0.14484	0.225845	
Sample_184	5e-06	0.023119	0.0	0.023808	0.091081	0.016715	0.0	0.025436	0.012877	4.5e-05	0.109092	0.055104	0.013014	1.1e-05	0.034244	0.196907	0.135774	0.262768	
Sample_185	6e-06	0.0	0.010118	0.025903	0.089811	0.025085	0.0	0.028004	0.012383	3.9e-05	0.097462	0.05679	0.029232	1e-05	0.04223	0.185141	0.128946	0.268841	
Sample_186	5e-06	0.042763	0.006249	0.02658	0.10145	0.022656	0.0	0.036147	0.010506	2.6e-05	0.081576	0.053441	0.02462	1e-05	0.019035	0.205211	0.132912	0.236814	
Sample_187	6e-06	0.048575	0.004081	0.025528	0.102841	0.01929	0.0	0.02546	0.019031	2.5e-05	0.077452	0.055165	0.024832	9e-06	0.01638	0.204914	0.12865	0.247762	
Sample_188	1.3e-05	0.0	0.022693	0.028266	0.038399	0.009341	0.0	0.042506	0.04191	5.3e-05	0.089169	0.047611	0.027513	1.6e-05	0.03726	0.174839	0.14514	0.295271	
Sample_189	0.004402	0.023225	0.0	0.023606	0.106999	0.018491	0.003426	0.053426	0.033703	5e-06	0.049728	0.062557	0.007767	0.006387	0.036998	0.168864	0.196009	0.204404	
Sample_190	0.004493	0.026014	0.0	0.039563	0.12993	0.017822	0.0	0.051131	0.032693	0.002884	0.072967	0.05946	0.00791	0.011046	0.026127	0.170136	0.144095	0.20373	
Sample_191	0.011921	0.0	0.019323	0.014268	0.060136	0.041166	0.0	0.014571	0.015892	9.4e-05	0.037937	0.10227	0.027208	0.007261	0.008132	0.177407	0.197833	0.264581	
Sample_192	1e-05	0.0	0.036688	0.010672	0.050064	0.058486	0.0	0.010379	0.009184	0.044034	0.04658	0.083847	0.028604	3.4e-05	0.026773	0.112438	0.223377	0.258828	
Sample_193	1.2e-05	0.02452	0.0	0.042312	0.085415	0.081402	0.0	0.014696	0.057707	9e-05	0.093347	0.070837	0.053025	2.6e-05	0.035647	0.077077	0.13002	0.233866	
Sample_194	1.1e-05	0.0	0.0	0.044534	0.025029	0.105328	0.0	0.029064	0.022303	0.052702	0.106651	0.062725	0.038599	0.041801	0.014484	0.05165	0.064551	0.340568	
Sample_195	1.2e-05	0.008765	0.0	0.07159	0.073804	0.057058	0.0	0.023819	0.023135	0.062458	0.067877	0.043802	0.046279	3.3e-05	0.032278	0.114323	0.039278	0.335487	
Sample_196	1.2e-05	0.0	0.023828	0.06065	0.05973	0.050636	0.0	0.050872	0.098409	9.2e-05	0.050653	0.032518	0.059439	0.024321	0.056234	0.085659	0.054417	0.29253	
Sample_197	0.056933	0.023685	0.0	0.048009	0.042003	0.063083	0.0	0.087815	0.067176	0.01666	0.074625	0.002689	0.076587	5.3e-05	0.043429	0.080038	0.02918	0.288036	
Sample_198	9e-06	0.045819	0.0	0.012648	0.032372	0.002395	0.017827	0.117643	0.007901	9.4e-05	0.045581	0.024389	0.031051	6.9e-05	0.04881	0.169049	0.02131	0.423033	
Sample_199	1.5e-05	0.0	0.047869	0.027641	0.014293	0.000741	0.0	0.074634	0.006358	4.5e-05	0.035877	0.030179	0.04678	5.5e-05	0.046327	0.155571	0.060336	0.453277	
Sample_200	1.5e-05	0.0	0.0	0.02259	0.044661	0.012903	0.038408	0.066212	0.053024	6e-05	0.079531	0.020702	0.048079	1.8e-05	0.061979	0.153348	0.022233	0.376238	
Sample_201	0.038105	0.0	0.0	0.025845	0.083748	0.013343	0.015142	0.049569	0.020291	0.113896	0.07073	0.046702	0.086304	6e-05	0.024489	0.211615	0.030472	0.16969	
Sample_202	1.2e-05	0.0	0.0	0.044161	0.129001	0.013958	0.026359	0.027648	0.02921	0.060784	0.092313	0.060577	0.103081	4.5e-05	0.032077	0.217047	0.026182	0.137545	
Sample_203	1.1e-05	0.0	0.0	0.026669	0.10169	0.035543	0.008072	0.030182	0.010435	0.083692	0.135993	0.090098	0.056712	3.7e-05	0.029164	0.174248	0.008567	0.208886	
Sample_204	8e-06	0.0	0.0	0.049324	0.157286	0.004633	0.0	0.064305	0.037977	0.042721	0.095773	0.096907	0.048404	6.9e-05	0.019318	0.203226	0.018835	0.161215	
Sample_205	1.4e-05	0.0	0.019612	0.043015	0.207871	0.00752	0.0	0.070932	0.058662	0.012766	0.101327	0.045916	0.0606	7e-05	0.031479	0.196719	0.013653	0.129844	
Sample_206	1.2e-05	0.0	0.0	0.012246	0.097255	0.002412	0.0	0.111241	0.065222	0.100541	0.054057	0.017708	0.033875	0.012511	0.016902	0.30855	0.014248	0.15322	
Sample_207	5e-06	0.0	0.0	0.03991	0.220786	0.005085	0.0	0.00738	0.042008	0.040441	0.096062	0.05371	0.015264	2.2e-05	0.04344	0.15884	0.037596	0.239453	
Sample_208	6e-06	0.0	0.006693	0.032723	0.213577	0.000516	0.0	0.008224	0.062797	0.046343	0.065638	0.058005	0.023579	2.5e-05	0.013698	0.187905	0.041003	0.239267	
Sample_209	4e-06	0.0	0.0	0.081111	0.201209	0.008528	0.0	0.030614	0.025971	0.036406	0.084932	0.046216	0.027338	0.009927	0.031901	0.145932	0.003081	0.266829	
Sample_210	6e-06	0.0	0.0	0.029414	0.192588	0.0005	0.026361	0.028799	0.056174	0.01555	0.06044	0.018168	0.041539	1.9e-05	0.021184	0.110999	0.009296	0.388963	
Sample_211	0.059406	0.0	0.0	0.049131	0.027635	0.058677	0.0	0.092631	0.005468	6.2e-05	0.052242	0.003443	0.267674	0.019814	0.022059	0.081334	0.031511	0.228913	
Sample_212	0.109374	0.0	0.138831	0.019267	0.006361	0.030931	0.0	0.112858	0.002474	4e-05	0.049973	0.016509	0.258134	1.9e-05	0.015823	0.113258	0.064042	0.062107	
Sample_213	1e-06	0.0	0.0	0.064715	0.022408	0.087593	0.003852	0.094427	0.04091	0.017814	0.046141	0.456303	0.011938	0.002233	0.019515	0.072561	0.033544	0.026045	
Sample_214	1e-06	0.001671	0.0	0.070082	0.023909	0.081173	0.00315	0.089908	0.030433	0.023424	0.04762	0.473277	0.009528	3e-06	0.019483	0.074198	0.028753	0.023386	
Sample_215	1e-06	0.196531	0.14526	0.035066	0.002152	0.000767	0.269562	0.01724	0.046367	0.03621	0.069342	0.031547	0.00096	0.019332	0.09471	0.029985	0.002975	0.001995	
Sample_216	0.001072	0.212729	0.159777	0.011499	0.002976	0.003446	0.215748	0.02305	0.022209	0.051222	0.051816	0.02626	0.002276	0.025027	0.110303	0.065298	0.012576	0.002716	
Sample_217	1e-06	0.178813	0.152869	0.014515	0.002095	0.001397	0.284472	0.011651	0.018388	0.026797	0.044559	0.03476	0.000958	0.014463	0.165637	0.042655	0.002705	0.003264	
Sample_218	1e-06	0.229267	0.082594	0.024575	0.005112	0.00145	0.268732	0.011027	0.073013	0.063737	0.084911	0.02834	0.000139	0.014326	0.067571	0.029966	0.003674	0.011565	
Sample_219	1e-06	0.217229	0.219807	0.021723	0.016845	0.002662	0.194722	0.006192	0.015152	0.057691	0.041244	0.038129	0.002016	0.043248	0.067999	0.040774	0.010136	0.004429	
Sample_220	1e-06	0.073356	0.089185	0.020206	0.000864	5.2e-05	0.37937	0.007035	0.038145	0.012925	0.049863	0.006538	0.001778	2e-06	0.30058	0.019585	0.000272	0.000241	
Sample_221	0.067818	0.0	0.274555	0.010072	0.003581	0.001028	0.4584	0.009978	0.039043	0.008417	0.032806	0.008549	0.007242	3e-06	0.031211	0.035137	0.011962	0.000199	
Sample_222	0.038262	0.0	0.214785	0.014631	0.005552	0.000148	0.421933	0.000982	0.033225	0.042041	0.127912	0.027225	0.00632	3.5e-05	0.008036	0.056482	0.001815	0.000618	
Sample_223	0.073547	0.043179	0.223197	0.00526	0.007373	0.00619	0.341997	0.001259	0.088006	0.053588	0.069772	0.021693	0.000215	0.009424	0.003186	0.043113	0.008168	0.000832	
Sample_224	1e-06	0.0	0.307445	0.016339	0.001978	0.004629	0.368883	0.009456	0.05492	0.004673	0.052617	0.018398	0.000574	5e-06	0.139557	0.017269	0.001171	0.002085	
Sample_225	0.015359	0.0	0.358778	0.008227	0.008501	0.002549	0.402754	0.00203	0.030203	0.01896	0.029388	0.004369	0.004913	7e-06	0.084616	0.015225	0.003626	0.010495	
Sample_226	0.041741	0.0	0.344076	0.008446	0.011313	0.001226	0.268285	0.002345	0.066712	0.029839	0.061586	0.018309	0.007119	0.025048	0.066836	0.031174	0.012236	0.003708	
Sample_227	4e-06	0.0	0.362493	0.004273	0.006496	0.000558	0.297274	0.029082	0.047842	0.019325	0.047415	0.007421	0.024713	1.5e-05	0.087442	0.040591	0.021118	0.003937	
Sample_228	0.039098	0.096301	0.498104	0.005594	0.015946	0.002495	0.0	0.003949	0.033427	0.027644	0.049459	0.024437	0.004563	0.009618	0.099953	0.067725	0.008015	0.01367	
Sample_229	1e-06	0.166237	0.606688	0.013885	0.008754	0.001079	0.0	0.006215	0.002616	0.061529	0.035976	0.014701	0.000346	0.029719	0.039422	0.008966	0.001016	0.00285	
Sample_230	0.043756	0.205366	0.415837	0.001208	0.009252	0.007219	0.108035	0.018046	0.022929	4e-06	0.023027	0.02138	0.003404	0.033627	0.037523	0.035155	0.012573	0.00166	
Sample_231	0.0	0.187942	0.474583	0.011863	0.030422	0.004412	0.062572	0.017476	0.002301	0.02336	0.012443	0.001935	0.001561	0.057606	0.071416	0.018788	0.008078	0.013242	
Sample_232	2e-06	0.077274	0.514813	0.015634	0.009093	0.006279	0.185235	0.006186	0.016794	0.023315	0.022968	0.004965	0.000335	0.011537	0.050902	0.026655	0.016344	0.01167	
Sample_233	2e-06	0.065367	0.480857	0.007647	0.001763	0.000692	0.209216	0.003473	0.049067	0.049105	0.047523	0.012923	0.001711	9e-06	0.038911	0.019029	0.008964	0.003741	
Sample_234	0.02396	0.061233	0.46027	0.001456	0.006766	0.005657	0.222507	0.008716	0.040871	0.008048	0.028812	0.008258	0.001342	0.009116	0.066148	0.027855	0.015425	0.003562	
Sample_235	1e-06	0.039302	0.43511	0.015645	0.002469	0.003191	0.201414	0.000531	0.040858	0.052294	0.036136	0.010355	0.000262	3e-06	0.097495	0.054601	0.008729	0.001606	
Sample_236	0.036074	0.0	0.0211	0.008019	0.032332	0.641212	0.0	0.018928	0.004341	0.007424	0.010431	0.015345	0.034767	0.012325	0.013839	0.024618	0.02071	0.098534	
