	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	
Sample_12	2e-06	0.0	0.0	0.132755	0.050105	0.017332	0.0	0.024353	0.079158	0.029334	0.199227	0.165293	0.01835	0.009689	0.037345	0.122915	0.05006	0.064084	
Sample_13	3e-06	0.0	0.0	0.18461	0.016746	0.05756	0.0	0.107441	0.099973	0.005235	0.118322	0.158363	0.015882	9e-06	0.025372	0.12699	0.078339	0.005155	
Sample_14	2e-06	0.0	0.0	0.174946	0.047611	0.011406	0.001158	0.055934	0.077194	0.009478	0.12236	0.126383	0.018266	0.009171	0.039085	0.148152	0.134057	0.024798	
Sample_15	2e-06	0.00315	0.0	0.216376	0.055976	0.017193	0.007834	0.144574	0.067916	0.011443	0.112476	0.048454	0.020979	7e-06	0.024445	0.136753	0.101417	0.031005	
Sample_16	0.019381	0.0102	0.0	0.122978	0.122576	0.014594	0.0	0.033084	0.034782	0.110818	0.156427	0.079013	0.015591	7e-06	0.021867	0.144499	0.066047	0.048136	
Sample_17	0.014757	0.016155	0.0	0.128455	0.127378	0.016995	0.0	0.041529	0.027211	0.121789	0.149057	0.081816	0.015426	7e-06	0.023276	0.144713	0.052699	0.038737	
Sample_18	0.031052	0.0	0.0	0.20173	0.07635	0.012318	0.0	0.02413	0.063991	0.09523	0.183974	0.044433	0.008033	1.1e-05	0.021038	0.146034	0.042918	0.048758	
Sample_19	2e-06	0.008237	0.0	0.159706	0.046505	0.012407	0.0	0.009134	0.060724	0.128362	0.290735	0.123357	0.005947	7e-06	0.02663	0.084491	0.016542	0.027215	
Sample_20	2e-06	0.0	0.008634	0.248421	0.101877	0.00581	0.0	0.036815	0.065045	0.024495	0.10574	0.055442	0.016647	0.00871	0.034974	0.142116	0.10305	0.042223	
Sample_21	0.018119	0.0	0.0	0.230115	0.075245	0.025254	0.012436	0.051566	0.027454	0.015267	0.123093	0.118225	0.01415	2.3e-05	0.031431	0.153427	0.086348	0.017849	
Sample_22	0.018765	0.0	0.0	0.209429	0.13084	0.008498	0.01602	0.036191	0.016953	0.026202	0.159162	0.038075	0.018417	0.005878	0.05074	0.174495	0.061938	0.028396	
Sample_23	4e-06	0.0	0.0	0.178767	0.130065	0.001198	0.005661	0.035275	0.045539	0.044557	0.146491	0.051124	0.007543	0.007779	0.041579	0.199687	0.054246	0.050485	
Sample_24	4e-06	0.036387	0.0	0.198873	0.113675	0.015191	0.0	0.01956	0.06512	0.019236	0.140116	0.093485	0.017337	1.4e-05	0.017656	0.162343	0.06119	0.039815	
Sample_25	3e-06	0.0	0.025624	0.309439	0.006797	0.007991	0.0	0.05005	0.041898	1.7e-05	0.205184	0.027925	0.015763	1e-05	0.027372	0.178076	0.090079	0.013771	
Sample_26	7e-06	0.008228	0.0	0.243328	0.026039	0.034828	0.0	0.067429	0.025306	0.004952	0.179124	0.056581	0.020793	5e-05	0.0507	0.192399	0.062265	0.02797	
Sample_27	0.018207	0.0	0.0	0.258524	0.073565	0.009641	0.009174	0.026237	0.035953	1.5e-05	0.15339	0.039341	0.029778	0.00652	0.037369	0.206672	0.089199	0.006415	
Sample_28	0.020414	0.0	0.0	0.282993	0.076357	0.010193	0.009446	0.027011	0.006996	0.010239	0.133881	0.063809	0.026859	0.008181	0.03128	0.20078	0.081414	0.010146	
Sample_29	0.069295	0.0	0.0	0.258158	0.03943	0.007541	0.0	0.041386	0.025192	0.012974	0.16678	0.060494	0.020502	1e-05	0.036723	0.179669	0.068564	0.013282	
Sample_30	0.027108	0.0	0.0	0.232611	0.090402	0.01003	0.055645	0.023916	0.046575	5.4e-05	0.140542	0.019482	0.022228	0.01701	0.028592	0.163761	0.113812	0.008231	
Sample_31	0.028907	0.0	0.0	0.173013	0.0579	0.01291	0.0	0.017335	0.005373	0.047685	0.160802	0.034264	0.044805	0.013873	0.055415	0.172599	0.096551	0.078568	
Sample_32	0.02095	0.0	0.0	0.216004	0.035656	0.009995	0.010136	0.029717	0.033283	0.02008	0.160547	0.049702	0.00535	5e-06	0.055692	0.252706	0.074084	0.026094	
Sample_33	0.042007	0.0	0.0	0.203197	0.040028	0.008114	0.007795	0.024849	0.033322	3.5e-05	0.158777	0.057108	0.032033	0.017927	0.066286	0.231924	0.066129	0.010471	
Sample_34	0.031604	0.0	0.0	0.203697	0.005134	0.033265	0.0	0.042425	0.035014	0.019053	0.166464	0.05071	0.031574	0.01668	0.064686	0.222895	0.064412	0.012388	
Sample_35	0.041661	0.0	0.0	0.204562	0.019566	0.008235	0.006946	0.023532	0.064901	2.9e-05	0.172259	0.018919	0.024797	0.003651	0.049737	0.270825	0.085259	0.00512	
Sample_36	2e-06	0.0	0.0	0.240711	0.072149	0.005326	0.009137	0.023419	0.041098	1.4e-05	0.18961	0.047139	0.003114	0.003347	0.038955	0.231624	0.069798	0.024555	
Sample_37	0.024125	0.014226	0.0	0.215432	0.061087	0.003699	0.0	0.020486	0.025179	0.021759	0.189843	0.02062	0.029361	9e-06	0.057631	0.219496	0.084246	0.012803	
Sample_38	0.010581	0.0	0.0	0.181977	0.062	0.016586	0.0	0.005227	0.032932	0.032389	0.167708	0.071697	0.019825	0.018296	0.057002	0.245648	0.057429	0.020701	
Sample_39	0.009076	0.0	0.0	0.167872	0.067676	0.017492	0.0	0.007382	0.037781	0.01903	0.166307	0.068818	0.013979	0.023827	0.056309	0.263618	0.057892	0.022939	
Sample_40	2e-06	0.0	0.0	0.154683	0.05767	0.012666	0.004486	0.042368	0.030317	0.02948	0.204507	0.090226	0.015126	0.009854	0.043398	0.239693	0.046527	0.018997	
Sample_41	3e-06	0.0	0.0	0.192012	0.070482	0.019475	0.0	0.051259	0.054016	0.008701	0.185732	0.033139	0.013464	0.010801	0.039467	0.258384	0.036707	0.026358	
Sample_42	0.028693	0.010233	0.0	0.18496	0.066439	0.013455	0.0	0.035494	0.038346	5.5e-05	0.189057	0.042273	0.020835	0.011334	0.047255	0.264364	0.029459	0.017748	
Sample_43	0.0141	0.0	0.0	0.177566	0.077171	0.008528	0.0	0.025325	0.036434	0.009554	0.193295	0.019787	0.015906	0.006744	0.057148	0.280807	0.054778	0.022856	
Sample_44	2e-06	0.017622	0.0	0.177562	0.044292	0.014367	0.0	0.039252	0.040705	1.8e-05	0.180551	0.057559	0.01204	0.010774	0.060789	0.267812	0.046333	0.03032	
Sample_45	0.036265	0.0	0.0	0.191673	0.075787	0.009283	0.0	0.033238	0.030087	0.028961	0.183166	0.019522	0.024761	6e-06	0.043361	0.268406	0.027753	0.027731	
Sample_46	0.044794	0.0	0.0	0.183858	0.075517	0.007666	0.0	0.032925	0.019915	0.031388	0.185469	0.01826	0.028441	7e-06	0.045665	0.273517	0.024066	0.028512	
Sample_47	7e-06	0.0	0.0	0.165158	0.039822	0.019542	0.0	0.009209	0.062754	3.8e-05	0.213555	0.037316	0.038429	0.015473	0.044394	0.258502	0.054427	0.041373	
Sample_48	5e-06	0.029553	0.0	0.209432	0.088212	0.018511	0.0	0.057949	0.064316	3.4e-05	0.153727	0.01432	0.024092	0.012466	0.039329	0.234477	0.035614	0.017964	
Sample_49	0.005124	0.0	0.023975	0.187602	0.042639	0.004721	0.0	0.022603	0.031801	1.9e-05	0.168877	0.079651	0.011712	1e-05	0.044308	0.274465	0.075143	0.02735	
