	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_71	0.093719	0.0	0.330463	0.039749	0.022373	0.024531	0.018645	0.13925	0.005358	0.017482	0.308429	
Sample_72	0.112779	0.0	0.345906	0.023263	0.018905	0.025402	0.005462	0.15024	0.008667	0.028901	0.280474	
Sample_73	0.070488	0.0	0.387201	0.022035	0.005767	0.008636	0.009602	0.14816	0.00244	0.029324	0.316347	
Sample_74	0.137145	0.0	0.376321	5.1e-05	0.032683	6.5e-05	0.000219	0.127214	0.000507	0.037588	0.288206	
Sample_75	0.050389	0.0	0.38849	0.005026	0.027161	0.005686	0.004386	0.179702	0.043055	0.01092	0.285185	
Sample_76	0.056174	0.0	0.335731	0.011317	0.02028	0.011247	0.014653	0.144806	0.075505	0.016458	0.313829	
Sample_77	0.141111	0.0	0.361284	0.013873	0.012454	0.030773	0.002928	0.196769	0.02902	0.019286	0.192503	
Sample_78	0.073687	0.0	0.398764	0.004624	0.021992	0.026219	0.000181	0.220976	0.047923	0.029759	0.175873	
Sample_79	0.142868	0.002288	0.303033	0.00765	0.017098	0.013596	0.025822	0.243413	0.01851	0.040064	0.185658	
Sample_80	0.190161	0.00451	0.16032	0.127719	0.031582	0.015079	0.034592	0.01644	0.094964	0.121405	0.203229	
Sample_81	0.07144	0.033316	0.176828	0.127625	0.005809	0.062436	0.032081	0.033146	0.114395	0.14963	0.193294	
Sample_82	0.079746	0.0	0.231435	0.052332	0.098633	0.018343	0.045146	0.075993	0.105626	0.100358	0.192388	
Sample_83	0.434235	0.0	0.036223	0.020478	0.026425	0.012906	0.0226	0.127232	0.030582	0.033395	0.255924	
Sample_84	0.486206	0.0	0.133063	0.005004	0.018844	0.014223	0.008812	0.071367	0.020085	0.012589	0.229806	
Sample_85	0.622689	0.0	0.21194	0.007279	0.016997	0.008819	0.004832	0.029188	0.010036	0.004589	0.083633	
Sample_86	0.311866	0.001299	0.164897	0.018674	0.097135	0.018296	0.019414	0.064592	0.043103	0.021162	0.239563	
Sample_87	0.325732	0.0	0.256015	0.008546	0.009763	0.031795	0.00962	0.073147	0.003589	0.003292	0.2785	
Sample_88	0.233665	0.0	0.302942	0.008239	0.099485	0.025942	0.004766	0.113298	0.028022	0.000175	0.183467	
Sample_89	0.067044	0.001631	0.183995	0.007486	0.046838	0.0151	0.01905	0.30755	0.049704	0.008452	0.293149	
Sample_90	0.068552	0.0	0.1302	0.020484	0.024412	0.015729	0.03869	0.386233	0.001552	0.039543	0.274605	
Sample_91	0.01846	0.090395	0.261855	0.007468	0.007849	0.00641	0.00938	0.3798	0.007395	0.027526	0.183462	
Sample_92	0.02904	0.0	0.053681	0.025591	0.056095	0.014669	0.019029	0.568684	0.025196	0.018605	0.189412	
Sample_93	0.054549	0.0	0.097435	0.00737	0.004289	0.003313	0.012347	0.782013	0.006171	0.017139	0.015373	
Sample_94	0.035498	0.350369	0.135919	4.8e-05	0.017613	0.014733	0.015426	0.115333	0.054024	0.011623	0.249411	
Sample_95	0.008485	0.338229	0.110408	0.004596	0.014469	0.027975	0.023564	0.070576	0.029907	0.011913	0.359877	
Sample_96	0.134402	0.436754	0.023343	5.8e-05	0.028123	0.017696	0.004161	0.031435	0.013174	0.006226	0.304628	
Sample_97	0.011943	0.506416	0.190749	0.015986	0.000406	0.008472	0.002124	0.038831	0.012109	0.00013	0.212834	
Sample_98	0.029377	0.570805	0.182654	0.003093	0.000461	0.012565	0.007199	0.019906	0.000159	0.004793	0.168989	
Sample_99	0.032909	0.532889	0.066455	0.029078	0.028709	0.052583	0.032008	0.066504	0.007485	0.00024	0.15114	
Sample_100	0.035239	0.521736	0.200228	0.006364	0.007916	0.017201	0.005552	0.09348	0.013072	0.007937	0.091275	
Sample_101	0.042677	0.519617	0.279608	0.007744	0.007709	0.014242	0.012637	0.050478	0.002915	0.01372	0.048654	
Sample_102	0.002971	0.448487	0.275417	0.027572	0.00331	0.003179	0.000161	0.074843	0.005862	0.012768	0.14543	
Sample_103	0.041312	0.439885	0.216733	0.000124	0.000215	0.009945	0.000329	0.172935	0.000924	0.000894	0.116706	
